"","","","","","","","","","","0","","","","","","","","","","","","","",""
"Aundh-Baner","9A","Baner- Balewadi- Pashan","Swapnali Saikar","BJP","","","","","","","","","","","","","","","","","","","",""
"Aundh-Baner","9B","Baner- Balewadi- Pashan","Jyoti Kalamkar","BJP","","","","","","","","","","","","","","","","","","","",""
"Aundh-Baner","9C","Baner- Balewadi- Pashan","Amol Balwadkar","BJP","","","","","","","","","","","","","","","","","","","",""
"Aundh-Baner","9D","Baner- Balewadi- Pashan","Baburao Chandere","NCP","","","","","","","","","","","","","","","","","","","",""
"Kothrud-Bavdhan","10A","Bavdhan- Kothrud Depot","Kiran Dagade Patil","BJP","","","","","","","","","","","","","","","","","","","",""
"Kothrud-Bavdhan","10B","Bavdhan- Kothrud Depot","Shraddha Prabhune","BJP","","","","","","","","","","","","","","","","","","","",""
"Kothrud-Bavdhan","10C","Bavdhan- Kothrud Depot","Alpana Varpe","BJP","","","","","","","","","","","","","","","","","","","",""
"Kothrud-Bavdhan","10D","Bavdhan- Kothrud Depot","Dilip Vede Patil","BJP","","","","","","","","","","","","","","","","","","","",""
"Kothrud-Bavdhan","11A","Rambaug Colony- Shivtirth Nagar","Deepak Mankar","NCP","","","","","","","","","","","","","","","","","","","",""
"Kothrud-Bavdhan","11B","Rambaug Colony- Shivtirth Nagar","Chhaya Marane","BJP","","","","","","","","","","","","","","","","","","","",""
"Kothrud-Bavdhan","11C","Rambaug Colony- Shivtirth Nagar","Vaishali Marathe","Congress","","","","","","","","","","","","","","","","","","","",""
"Kothrud-Bavdhan","11D","Rambaug Colony- Shivtirth Nagar","Ramchandra Kadam","Congress","","","","","","","","","","","","","","","","","","","",""
"Kothrud-Bavdhan","12A","Mayur Colony- Dahanukar Colony","Harshali Mathvad","BJP","","","","","","","","","","","","","","","","","","","",""
"Kothrud-Bavdhan","12B","Mayur Colony- Dahanukar Colony","Vasanti Jadhav","BJP","","","","","","","","","","","","","","","","","","","",""
"Kothrud-Bavdhan","12C","Mayur Colony- Dahanukar Colony","Murlidhar Mohol","BJP","","","","","","","","","","","","","","","","","","","",""
"Kothrud-Bavdhan","12D","Mayur Colony- Dahanukar Colony","Pruthviraj Sutar","ShivSena","","","","","","","","","","","","","","","","","","","",""
"Warje-KarveNagar","13A","Erandwana- Happy Colony","Dipak Pote","BJP","","","","","","","","","","","","","","","","","","","",""
"Warje-KarveNagar","13B","Erandwana- Happy Colony","Madhuri Sahastrabuddhe","BJP","","","","","","","","","","","","","","","","","","","",""
"Warje-KarveNagar","13C","Erandwana- Happy Colony","Manjushri Khardekar","BJP","","","","","","","","","","","","","","","","","","","",""
"Warje-KarveNagar","13D","Erandwana- Happy Colony","Jayant Bhave","BJP","","","","","","","","","","","","","","","","","","","",""
"Shivajinagar-GholeRd","14A","Deccan Gymkhana- Model Colony","Swati Lokhande","BJP","","","","","","","","","","","","","","","","","","","",""
"Shivajinagar-GholeRd","14B","Deccan Gymkhana- Model Colony","Nilima Khade","BJP","","","","","","","","","","","","","","","","","","","",""
"Shivajinagar-GholeRd","14C","Deccan Gymkhana- Model Colony","Jyotsna Ekbote","BJP","","","","","","","","","","","","","","","","","","","",""
"Shivajinagar-GholeRd","14D","Deccan Gymkhana- Model Colony","Siddharth Shirole","BJP","","","","","","","","","","","","","","","","","","","",""
"Kasba-VishrambagWada","15A","Shanivar Peth- Sadashiv Peth","Hemant Rasane","BJP","","","","","","","","","","","","","","","","","","","",""
"Kasba-VishrambagWada","15B","Shanivar Peth- Sadashiv Peth","Gayatri Khadke","BJP","","","","","","","","","","","","","","","","","","","",""
"Kasba-VishrambagWada","15C","Shanivar Peth- Sadashiv Peth","Mukta Tilak","BJP","","","","","","","","","","","","","","","","","","","",""
"Kasba-VishrambagWada","15D","Shanivar Peth- Sadashiv Peth","Rajesh Yenpure","BJP","","","","","","","","","","","","","","","","","","","",""
"Kasba-VishrambagWada","16A","Kasba Peth- Somwar Peth","Pallavi Jawale","ShivSena","","","","","","","","","","","","","","","","","","","",""
"Kasba-VishrambagWada","16B","Kasba Peth- Somwar Peth","Ravindra Dhangekar","Independant","","","","","","","","","","","","","","","","","","","",""
"Kasba-VishrambagWada","16C","Kasba Peth- Somwar Peth","Sujata Shetti","Congress","","","","","","","","","","","","","","","","","","","",""
"Kasba-VishrambagWada","16D","Kasba Peth- Somwar Peth","Yogesh Samel","BJP","","","","","","","","","","","","","","","","","","","",""
"BhavaniPeth","17A","Rasta Peth- Ravivar Peth","Laxmi Andekar","NCP","","","","","","","","","","","","","","","","","","","",""
"BhavaniPeth","17B","Rasta Peth- Ravivar Peth","Sulochana Kondhare","BJP","","","","","","","","","","","","","","","","","","","",""
