"","","","","","","","","","","","","","134","102","103","126","465","0","","","","","","","","","","","","","",""
"Ward office","Ward","Ward Name","Name","Gender","Party","Served on any Municipal Committee?","17-18","18-19","19-20","20-21","Total","Total working days","17-18","18-19","19-20","20-21","Total","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","",""
"NagarRd-WadgaonSheri","3D","Viman Nagar- Somnath Nagar","Bapurao Karne (Guruji)","M","BJP","Name Committee","117","76","74","87","354","465","87%","75%","72%","69%","76%","No Issue","","","","","","","","","","","","","",""
"NagarRd-WadgaonSheri","4A","Kharadi-Chandan Nagar","Bhaiyya Saheb Jadhav","M","NCP","City Development Committee, Sports Committee, Name Committee, Law Committee","107","87","70","58","322","465","80%","85%","68%","46%","69%","No Issue","","","","","","","","","","","","","",""
"NagarRd-WadgaonSheri","4B","Kharadi-Chandan Nagar","Suman Pathare","F","NCP","City Development Committee, Education Committee, Women & child welfare","74","82","53","96","305","465","55%","80%","51%","76%","66%","No Issue","","","","","","","","","","","","","",""
"NagarRd-WadgaonSheri","4C","Kharadi-Chandan Nagar","Sanjila Pathare","F","NCP","Law Committee, Women & child welfare","88","94","72","111","365","465","66%","92%","70%","88%","78%","No Issue","","","","","","","","","","","","","",""
"NagarRd-WadgaonSheri","4D","Kharadi-Chandan Nagar","Mahendra Pathare","M","NCP","Standing Committee, Name Committee","115","96","75","85","371","465","86%","94%","73%","67%","80%","No Issue","","","","","","","","","","","","","",""
"NagarRd-WadgaonSheri","5A","Vadgaon Sheri- Kalyani Nagar","Sunita Galande","F","BJP","Standing Committee, Law Committee, Law Committee, Women & child welfare","114","99","89","112","414","465","85%","97%","86%","89%","89%","No Issue","","","","","","","","","","","","","",""
"NagarRd-WadgaonSheri","5B","Vadgaon Sheri- Kalyani Nagar","Shital Shinde","F","BJP","","129","98","87","105","419","465","96%","96%","84%","83%","90%","No Issue","","","","","","","","","","","","","",""
"NagarRd-WadgaonSheri","5C","Vadgaon Sheri- Kalyani Nagar","Yogesh Mulik","M","BJP","Standing Committee","116","94","53","90","353","465","87%","92%","51%","71%","76%","No Issue","","","","","","","","","","","","","",""
"NagarRd-WadgaonSheri","5D","Vadgaon Sheri- Kalyani Nagar","Sandip Jarhad","M","BJP","City Development Committee, Sports Committee, Name Committee","126","89","81","70","366","465","94%","87%","79%","56%","79%","No Issue","","","","","","","","","","","","","",""
"Yerawada-Kalas-Dhanori","6A","Yerwada","Avinash Salve","M","ShivSena","City Development Committee, Law Committee","119","92","89","100","400","465","89%","90%","86%","79%","86%","No Issue","","","","","","","","","","","","","",""
"Yerawada-Kalas-Dhanori","6B","Yerwada","Shweta Chavan","F","ShivSena","Name Committee, Women & child welfare","124","62","66","92","344","465","93%","61%","64%","73%","74%","No Issue","","","","","","","","","","","","","",""
