"","","","","","","","","","","","","","134","102","103","126","465","0","","","","","","","","","","","","","",""
"Ward office","Ward","Ward Name","Name","Gender","Party","Served on any Municipal Committee?","17-18","18-19","19-20","20-21","Total","Total working days","17-18","18-19","19-20","20-21","Total","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","",""
"SinhgadRd","30A","Janata Vasahat- Dattawadi","Anand Rithe","M","BJP","City Development Committee, Sports Committee","129","102","93","103","427","465","96%","100%","90%","82%","92%","No Issue","","","","","","","","","","","","","",""
"SinhgadRd","30B","Janata Vasahat- Dattawadi","Priya Gadade","F","NCP","Standing Committee, Name Committee, Law Committee","72","48","90","92","302","465","54%","47%","87%","73%","65%","No Issue","","","","","","","","","","","","","",""
"SinhgadRd","30C","Janata Vasahat- Dattawadi","Anita Kadam","F","BJP","Women & child welfare","127","102","93","87","409","465","95%","100%","90%","69%","88%","No Issue","","","","","","","","","","","","","",""
"SinhgadRd","30D","Janata Vasahat- Dattawadi","Shankar Pawar","M","BJP","","108","73","79","59","319","465","81%","72%","77%","47%","69%","No Issue","","","","","","","","","","","","","",""
"Warje-KarveNagar","31A","Karve Nagar","Sushil Mengade","M","BJP","City Development Committee","115","86","73","73","347","465","86%","84%","71%","58%","75%","No Issue","","","","","","","","","","","","","",""
"Warje-KarveNagar","31B","Karve Nagar","Laxmi Dudhane","F","NCP","Standing Committee","97","93","91","95","376","465","72%","91%","88%","75%","81%","No Issue","","","","","","","","","","","","","",""
"Warje-KarveNagar","31C","Karve Nagar","Vrushali Chaudhari","F","BJP","Sports Committee, Women & child welfare","129","101","38","75","343","465","96%","99%","37%","60%","74%","No Issue","","","","","","","","","","","","","",""
"Warje-KarveNagar","31D","Karve Nagar","Rajabhau Barate","M","BJP","Standing Committee","79","66","43","90","278","465","59%","65%","42%","71%","60%","Resolved","Name is Barate Rajabhau Kisan in RTI information PDF","Corrected- Tanmay","","","","","","","","","","","",""
"Warje-KarveNagar","32A","Warje-Malwadi","Dilip Barate","M","NCP","Standing Committee","67","65","69","53","254","465","50%","64%","67%","42%","55%","No Issue","","","","","","","","","","","","","",""
"Warje-KarveNagar","32B","Warje-Malwadi","Sayali Wanjale","F","NCP","City Development Committee, Sports Committee, Women & child welfare","105","76","73","48","302","465","78%","75%","71%","38%","65%","No Issue","","","","","","","","","","","","","",""
"Warje-KarveNagar","32C","Warje-Malwadi","Dipali Dhumal","F","NCP","Law Committee","88","66","73","109","336","465","66%","65%","71%","87%","72%","No Issue","","","","","","","","","","","","","",""
"Warje-KarveNagar","32D","Warje-Malwadi","Sachin Dodke","M","NCP","City Development Committee","80","49","62","60","251","465","60%","48%","60%","48%","54%","No Issue","","","","","","","","","","","","","",""
"SinhgadRd","33A","Vadgaon Dhayari- Suncity","Haridas Charvad","M","BJP","Standing Committee, Sports Committee","116","89","69","82","356","465","87%","87%","67%","65%","77%","No Issue","","","","","","","","","","","","","",""
"SinhgadRd","33B","Vadgaon Dhayari- Suncity","Rajashri Navale","F","BJP","Name Committee, Law Committee, Women & child welfare","118","99","83","74","374","465","88%","97%","81%","59%","80%","No Issue","","","","","","","","","","","","","",""
"SinhgadRd","33C","Vadgaon Dhayari- Suncity","Neeta Dangat","F","BJP","City Development Committee, Women & child welfare","110","87","89","69","355","465","82%","85%","86%","55%","76%","No Issue","","","","","","","","","","","","","",""
"SinhgadRd","33D","Vadgaon Dhayari- Suncity","Raju Laygude","M","BJP","Standing Committee,City Development Committee, Name Committee","126","99","95","99","419","465","94%","97%","92%","79%","90%","No Issue","","","","","","","","","","","","","",""
"SinhgadRd","34A","Vadgaon Budruk- Hingane Khurd","Prasanna Jagtap","M","BJP","City Development Committee, Name Committee","130","99","91","108","428","465","97%","97%","88%","86%","92%","No Issue","","","","","","","","","","","","","",""
"SinhgadRd","34B","Vadgaon Budruk- Hingane Khurd","Jyoti Gosavi","F","BJP","City Development Committee, Law Committee, Women & child welfare","130","99","84","113","426","465","97%","97%","82%","90%","92%","No Issue","","","","","","","","","","","","","",""
"SinhgadRd","34C","Vadgaon Budruk- Hingane Khurd","Manjusha Nagpure","F","BJP","Standing Committee, Name Committee","114","86","76","82","358","465","85%","84%","74%","65%","77%","No Issue","","","","","","","","","","","","","",""
"SinhgadRd","34D","Vadgaon Budruk- Hingane Khurd","Shrikant Jagtap","M","BJP","Sports Committee","75","59","64","58","256","465","56%","58%","62%","46%","55%","No Issue","","","","","","","","","","","","","",""
"Dhankawdi-Sahakarnagar","35A","Sahakar Nagar- Padmavati","Disha Mane","F","BJP","Law Committee, Women & child welfare","119","86","61","72","338","465","89%","84%","59%","57%","73%","No Issue","","","","","","","","","","","","","",""
"Dhankawdi-Sahakarnagar","35B","Sahakar Nagar- Padmavati","Ulhas Bagul","M","Congress","","43","29","27","97","196","465","32%","28%","26%","77%","42%","No Issue","","","","","","","","","","","","","",""
"Dhankawdi-Sahakarnagar","35C","Sahakar Nagar- Padmavati","Ashwini Kadam","F","NCP","Women & child welfare","58","88","78","78","302","465","43%","86%","76%","62%","65%","No Issue","","","","","","","","","","","","","",""
"Dhankawdi-Sahakarnagar","35D","Sahakar Nagar- Padmavati","Mahesh Wabale","M","BJP","Standing Committee, City Development Committee, Sports Committee, Law Committee","133","96","94","105","428","465","99%","94%","91%","83%","92%","No Issue","","","","","","","","","","","","","",""
"Bibvewadi","36A","Market Yard- Lower Indira Nagar","Ansuya Chavan","F","BJP","Name Committee","110","87","64","68","329","465","82%","85%","62%","54%","71%","Resolved","18-19 Attendance in RTI information PDF is 87 . Also 17-18 Attendance is 110","Corrected- Tanmay","","","","","","","","","","","",""
"Bibvewadi","36B","Market Yard- Lower Indira Nagar","Rajendra Shilimkar","M","BJP","Standing Committee, Name Committee, Law Committee","109","85","51","41","286","465","81%","83%","50%","33%","62%","No Issue","","","","","","","","","","","","","",""
"Bibvewadi","36C","Market Yard- Lower Indira Nagar","Mansi Deshpande","F","BJP","Standing Committee, Name Committee","112","94","84","97","387","465","84%","92%","82%","77%","83%","No Issue","","","","","","","","","","","","","",""
"Bibvewadi","36D","Market Yard- Lower Indira Nagar","Sunil Kamble","M","BJP","Standing Committee","106","73","64","45","288","465","79%","72%","62%","36%","62%","No Issue","","","","","","","","","","","","","",""
"Bibvewadi","37A","Uppar Super Indira Nagar","Varsha Sathe","F","BJP","Education Committee","119","86","61","73","339","465","89%","84%","59%","58%","73%","No Issue","","","","","","","","","","","","","",""
"Bibvewadi","37B","Uppar Super Indira Nagar","Rupali Dhadwe","F","BJP","Women & child welfare","118","98","87","89","392","465","88%","96%","84%","71%","84%","No Issue","","","","","","","","","","","","","",""
"Bibvewadi","37C","Uppar Super Indira Nagar","Pramod Oswal","M","ShivSena","Standing Committee, City Development Committee, Sports Committee, Law Committee","120","92","96","110","418","465","90%","90%","93%","87%","90%","No Issue","","","","","","","","","","","","","",""
"Bibvewadi","37D","Uppar Super Indira Nagar","","","","","","","","","0","465","0%","0%","0%","0%","0%","","","","","","","","","","","","","","",""
"Kondhwa-Yewlewadi","38A","Balaji Nagar- Rajiv Gandhi Nagar","Dattatray Dhankawade","M","NCP","","90","91","63","45","289","448","67%","89%","61%","36%","65%","No Issue","","","","","","","","","","","","","",""
"Kondhwa-Yewlewadi","38B","Balaji Nagar- Rajiv Gandhi Nagar","Rani Bhosale","F","BJP","City Development Committee, Name Committee, Women & child welfare","125","94","75","77","371","465","93%","92%","73%","61%","80%","No Issue","","","","","","","","","","","","","",""
"Kondhwa-Yewlewadi","38C","Balaji Nagar- Rajiv Gandhi Nagar","Manishatai Kadam","F","BJP","Standing Committee, Law Committee","116","102","93","80","391","465","87%","100%","90%","63%","84%","No Issue","","","","","","","","","","","","","",""
"Kondhwa-Yewlewadi","38D","Balaji Nagar- Rajiv Gandhi Nagar","Prakash Kadam","M","NCP","Name Committee, Law Committee","112","85","87","73","357","465","84%","83%","84%","58%","77%","No Issue","","","","","","","","","","","","","",""
"Dhankawdi-Sahakarnagar","39A","Dhankawadi- Ambegaon Pathar","Kishor Dhankawade","M","NCP","Sports Committee, Law Committee","74","85","50","88","297","465","55%","83%","49%","70%","64%","No Issue","","","","","","","","","","","","","",""
"Dhankawdi-Sahakarnagar","39B","Dhankawadi- Ambegaon Pathar","Ashwini Bhagwat","F","NCP","Law Committee, Women & child welfare","97","72","76","104","349","465","72%","71%","74%","83%","75%","No Issue","","","","","","","","","","","","","",""
"Dhankawdi-Sahakarnagar","39C","Dhankawadi- Ambegaon Pathar","Varsha Tapkir","F","BJP","Standing Committee","112","86","91","102","391","465","84%","84%","88%","81%","84%","No Issue","","","","","","","","","","","","","",""
"Dhankawdi-Sahakarnagar","39D","Dhankawadi- Ambegaon Pathar","Vishal Tambe","M","NCP","","99","91","81","97","368","465","74%","89%","79%","77%","79%","No Issue","","","","","","","","","","","","","",""
"Dhankawdi-Sahakarnagar","40A","Ambegaon Datta Nagar- Katraj Gaothan","Yuvraj Beldare","M","NCP","City Development Committee, Sports Committee","117","81","77","103","378","465","87%","79%","75%","82%","81%","No Issue","","","","","","","","","","","","","",""
"Dhankawdi-Sahakarnagar","40B","Ambegaon Datta Nagar- Katraj Gaothan","Amruta Babar","F","NCP","Standing Committee, Name Committee","71","61","55","64","251","465","53%","60%","53%","51%","54%","No Issue","","","","","","","","","","","","","",""
"Dhankawdi-Sahakarnagar","40C","Ambegaon Datta Nagar- Katraj Gaothan","Smita Kondhare","F","NCP","Standing Committee","99","69","68","70","306","465","74%","68%","66%","56%","66%","No Issue","","","","","","","","","","","","","",""
"Dhankawdi-Sahakarnagar","40D","Ambegaon Datta Nagar- Katraj Gaothan","Vasant More","M","MNS","","120","91","86","103","400","465","90%","89%","83%","82%","86%","No Issue","","","","","","","","","","","","","",""
"Kondhwa-Yewlewadi","41A","Kondhawa Budruk- Yewalewadi","Veersen Jagtap","M","BJP","Sports Committee, Name Committee, Law Committee","124","96","71","103","394","465","93%","94%","69%","82%","85%","No Issue","","","","","","","","","","","","","",""
"Kondhwa-Yewlewadi","41B","Kondhawa Budruk- Yewalewadi","Sangeeta Thosar","F","ShivSena","Standing Committee, Law Committee, Women & child welfare","120","93","82","109","404","465","90%","91%","80%","87%","87%","No Issue","","","","","","","","","","","","","",""
"Kondhwa-Yewlewadi","41C","Kondhawa Budruk- Yewalewadi","Vrushali Kamthe","F","BJP","Women & child welfare","119","96","87","112","414","465","89%","94%","84%","89%","89%","No Issue","","","","","","","","","","","","","",""
"Kondhwa-Yewlewadi","41D","Kondhawa Budruk- Yewalewadi","Ranjana Tilekar","F","BJP","Standing Committee","127","52","58","73","310","465","95%","51%","56%","58%","67%","No Issue","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
