"BIBWEWADI","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"36C","17-18","4","Road B.M.C. - Eknath Society","184,430.15","Concretization","Resolved","B.M.C. assumed to be Concrete. is this right?","Right. "
"36C","17-18","5","Paving Road - Bharat Jyoti","184,800.21","Pavement blocks","No Issue","",""
"36C","17-18","6","Tar Road- Sangam Society","184,799.71","Road","No Issue","",""
"36C","17-18","7","Tar Road- Juseva Society","185,074.18","Road","No Issue","",""
"36C","17-18","8","Construction of Samaaj Mandir","188,987.38","Buildings","No Issue","",""
"36C","18-19","1","Developmental Works in Virangula centre","186,705.85","Buildings","No Issue","",""
"36C","18-19","2","Developmental Works ","199,671.36","Development work","No Issue","",""
"36C","18-19","3","Purchasee Dhakalgaadi","200,000.00","Waste disposal","No Issue","",""
"36C","18-19","4","Purchase of Tables and Chairs","93,597.95","Furniture","No Issue","",""
"36C","18-19","5","Jute Bags","200,000.00","Bags","No Issue","",""
"36C","18-19","6","Furniture for SamaajMandir - Anandnagar","194,332.32","Furniture","No Issue","",""
"36C","18-19","7","Concretization at Virangula Centre","189,594.60","Concretization","No Issue","",""
"36C","18-19","8","Drainage Line Repairs","156,010.17","Drainage","No Issue","",""
"36A","18-19","1","Purchase Buckets - Big","200,000.00","Dustbin/Buckets","No Issue","",""
"36A","18-19","2","Purchase Buckets - Small","200,000.00","Dustbin/Buckets","No Issue","",""
"36A","18-19","3","Purchasee Dhakalgaadi","200,000.00","Waste disposal","No Issue","",""
"36A","18-19","4","Benches Installation","200,000.00","Benches","No Issue","",""
"36A","18-19","5","Benches Installation","200,000.00","Benches","No Issue","",""
"36A","18-19","6","Jute Bags Supply","200,000.00","Bags","No Issue","",""
"36A","18-19","7","Jute Bags Supply - Part 1","200,000.00","Bags","No Issue","",""
"36A","18-19","8","Cloth Bags Supply","200,000.00","Bags","No Issue","",""
"36A","18-19","9","Jute Bags Distribution","200,000.00","Bags","No Issue","",""
"36B","18-19","1","Jute Bags Purchase","200,000.00","Bags","No Issue","",""
"36B","18-19","2","Cleaning Water Tank","176,503.11","Cleaning","No Issue","",""
"36B","18-19","3","Garbage Collection - Part 2","197,364.16","Cleaning","No Issue","",""
"36B","18-19","4","Garbage Collection - Part 1","197,364.16","Cleaning","No Issue","",""
"36B","18-19","5","Library Repairs related","192,929.32","Library","No Issue","",""
"36B","18-19","6","Anganwadi Repairs","182,548.11","Buildings","No Issue","",""
"28C","18-19","1","Burial Ground for the dead","200,000.00","Cemetory / Crematorium","No Issue","",""
"28C","18-19","2","Cloth bags purchase","200,000.00","Bags","No Issue","",""
"28C","18-19","3","Garbage Collection - Maharshinagar","197,364.16","Cleaning","No Issue","",""
"28C","18-19","4","Repairs of toilets and related works","178,390.17","Toilet","No Issue","",""
"28C","18-19","5","Yoga Mat Purchase","200,000.00","Gym","No Issue","",""
"28C","18-19","6","Cleaning of Drainage Line- Indiranagar Industrial Residence","158,493.72","Drainage","No Issue","",""
"28C","18-19","7","Repairs and beautification of Library in Aruna Asaf Ali Garden","185,626.99","Library","No Issue","",""
"28C","18-19","8","Purchase of Dhakalgaade etc","200,000.00","Waste disposal","No Issue","",""
"28C","18-19","9","Supply of Educational Things in schools","100,000.00","Education","Resolved","Shaalaanmadhe Shaikshanik Saahitya puravine","Added a new code- Education"
"28C","18-19","10","Garbage Collection - Maharshinagar","198,340.91","Cleaning","No Issue","",""
"28C","18-19","11","Cloth bags purchase","200,000.00","Bags","No Issue","",""
"28C","18-19","12","Buckets for Garbage Classification","199,987.00","Dustbin/Buckets","No Issue","",""
"28C","18-19","13","Baalwaadi repairs and development works","175,581.06","Buildings","No Issue","",""
"28C","18-19","14","Baalwaadi repairs and development works","175,581.06","Buildings","No Issue","",""
"28D","18-19","1","Installation of Traffic rules signage boards, barricades, Signal TImers etc","199,952.00","Traffic","No Issue","",""
"28D","18-19","2","Benches for Senior Citizens","199,990.00","Benches","No Issue","",""
"28D","18-19","3","Cloth Bags","200,000.00","Bags","No Issue","Bhavan Vibhaag","Should be considered"
"28D","18-19","4","Cloth Bags","200,000.00","Bags","No Issue","ZoNiPu Vibhaag","Should be considered"
"28D","18-19","5","Zebra cross painting and speed breaker","192,645.13","Road","No Issue","",""
"28D","18-19","6","Developmental Works - Chordiya Parking","200,000.00","Buildings","No Issue","",""
"28D","18-19","7","Supply of Big and Small buckets for Garbage classification","199,990.00","Dustbin/Buckets","No Issue","",""
"28D","18-19","8","Purchase of Dhakalgaade","199,990.00","Waste disposal","No Issue","",""
"28D","18-19","9","Drainage related work","200,000.00","Drainage","","",""
"28D","18-19","10","Cloth Bags Supply - Part 1","200,000.00","Bags","No Issue","",""
"28D","18-19","11","Cloth Bags Supply","200,000.00","Bags","No Issue","",""
"28D","18-19","12","Garbage Pick up","176,604.05","Cleaning","No Issue","",""
"37A","18-19","1","Construction of Chaavdis (Hall)","157,193.58","Buildings","No Issue","",""
"37A","18-19","2","Cleaning of Drainage Chamber","195,249.18","Drainage","No Issue","",""
"37A","18-19","3","Cleaning of Drainage Line - Pavan-nagar","196,271.60","Drainage","No Issue","",""
"37A","18-19","4","Repairs of Drainage Lines","187,005.69","Drainage","No Issue","",""
"37A","18-19","5","Construction of Chaavdis (Hall)","196,811.94","Buildings","No Issue","",""
"37A","18-19","6","Construction of Chaavdis (Hall)","157,193.58","Buildings","No Issue","",""
"37B","18-19","1","Supply of Dhakalgaadi","100,000.00","Waste disposal","Resolved","Amount Alloted (Used here) is smaller than Expenditure (Expenditure amount exactly as above row, seems a mistake)","Let's keep the allotted amount. "
