"DHOLE PATIL ROAD","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","0","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","",""
"20A","17-18","1","Purchasing phenyl and acid for cleaning","199,988.00","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"20A","17-18","2","Providing cloth bags","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"20A","17-18","3","Benches","191,387.41","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"20A","17-18","4","Benches","149,656.72","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"20A","17-18","5","Library shed","188,416.05","Library","No Issue","","","","","","","","","","","","","","","","","",""
"20A","17-18","6","Library shed","200,000.00","Library","No Issue","","","","","","","","","","","","","","","","","",""
"20A","17-18","7","Name plates, direction indicators, bollards","148,510.09","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"20A","17-18","8","Drainage line","194,996.11","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"20B","17-18","1","Rumblers and bollards","180,132.42","Steel Bollards","No Issue","","","","","","","","","","","","","","","","","",""
"20B","17-18","2","Fitness center development","156,997.36","Gym","No Issue","","","","","","","","","","","","","","","","","",""
"20B","17-18","3","Direction indicators","199,162.00","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"20B","17-18","4","Picking up radar waste","199,636.16","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"20B","17-18","5","Balwadi and Samaj mandir - repair work","185,679.15","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"20B","17-18","6","Samaj Mandir - electrical work","135,726.64","Electrification","No Issue","","","","","","","","","","","","","","","","","",""
"20B","17-18","7","Drainage chamber reparing","199,340.46","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"20B","17-18","8","Computers distribution in primary schools","200,000.00","Computers","No Issue","","","","","","","","","","","","","","","","","",""
"20B","17-18","9","Benches","169,283.76","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"20C","17-18","1","Development work at Navartna Tarun Mandal","192,415.39","Development work","No Issue","","","","","","","","","","","","","","","","","",""
"20C","17-18","2","Samaj Mandir - Repair work","169,128.41","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"20C","17-18","3","Samajik sabhagruhache darvarit kam","197,155.88","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"20C","17-18","4","Concretization","200,000.00","Concretization","No Issue","","","","","","","","","","","","","","","","","",""
"20C","17-18","5","Jute bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"20C","17-18","6","Jute bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"20C","17-18","7","Jute bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"20C","17-18","8","Chanelling fencing and gate","191,296.43","Fencing","No Issue","","","","","","","","","","","","","","","","","",""
"20C","17-18","9","Miscelleneous Development work ","197,124.77","Development work","No Issue","","","","","","","","","","","","","","","","","",""
"20D","17-18","1","Drainage repair work","196,641.71","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"20D","17-18","2","Name plates","161,089.89","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"20D","17-18","3","Quarter Gate square's fountain repair work","197,501.77","Decoration","Resolved","Code -  Decoration? / Road? / Maintenance?","Decoration is correct","","","","","","","","","","","","","","","",""
"20D","17-18","4","Decoration","197,738.65","Decoration","No Issue","","","","","","","","","","","","","","","","","",""
"20D","17-18","5","Miscelleneous Development work ","199,431.77","Development work","No Issue","","","","","","","","","","","","","","","","","",""
"20D","17-18","6","Miscelleneous Development work ","199,080.62","Development work","No Issue","","","","","","","","","","","","","","","","","",""
"20D","17-18","7","Wheelbarrow  distribution","100,000.00","Waste disposal","Resolved","Code - Garden/ Buildings/ Road/ Develoment work??","Usually these are used for waste disposal works","","","","","","","","","","","","","","","",""
"20D","17-18","8","Buckets distribution for waste seggregation/ disposal","100,000.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"20D","17-18","9","Miscelleneous Development work ","194,540.21","Development work","No Issue","","","","","","","","","","","","","","","","","",""
"20D","17-18","10","Canvas bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"21A","17-18","1","Jute bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"21A","17-18","2","Chamber repair","145,985.93","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"21A","17-18","3","Plastic buckets distribution","200,000.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"21A","17-18","4","Plastic buckets distribution","200,000.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"21A","17-18","5","Benches","152,218.84","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"21A","17-18","6","Distribution of waste disposal vehicles","200,000.00","Waste disposal","No Issue","","","","","","","","","","","","","","","","","",""
"21A","17-18","7","Direction indicators","200,000.00","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"21A","17-18","8","Direction indicators","157,778.01","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"21A","17-18","9","Direction indicators","200,000.00","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"21A","17-18","10","Furniture work","200,000.00","Furniture","No Issue","","","","","","","","","","","","","","","","","",""
"21B","17-18","1","Buckets purchasing for waste seggregation/ disposal","200,000.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"21B","17-18","2","Water supply","159,134.74","Water supply","No Issue","","","","","","","","","","","","","","","","","",""
"21B","17-18","3","Benches","149,827.40","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"21B","17-18","4","Footpath lightening","200,000.00","Electrification","No Issue","","","","","","","","","","","","","","","","","",""
"21B","17-18","5","New library","136,521.81","Library","No Issue","","","","","","","","","","","","","","","","","",""
"21B","17-18","6","Concretization","163,323.36","Concretization","No Issue","","","","","","","","","","","","","","","","","",""
"21B","17-18","7","Steel benches","143,306.80","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"21B","17-18","8","New library","195,866.92","Library","No Issue","","","","","","","","","","","","","","","","","",""
"21B","17-18","9","Chambers repairs","200,000.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"21B","17-18","10","Cement blocks","156,177.46","Pavement blocks","No Issue","","","","","","","","","","","","","","","","","",""
"21C","17-18","1","Jute bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"21C","17-18","2","Bollards","150,784.00","Steel Bollards","No Issue","","","","","","","","","","","","","","","","","",""
"21C","17-18","3","Buckets distribution for waste collection","200,000.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"21C","17-18","4","Concretization","145,485.98","Concretization","No Issue","","","","","","","","","","","","","","","","","",""
