"AUNDH - BANER","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"9D","17-18","2","Installing Signboards for PMC project sights ","129,606.30","Nameplates","","",""
"9D","17-18","3","Installing open gym ","200,000.00","Gym","","",""
"9D","17-18","3","Installing open gym ","200,000.00","Gym","","",""
"9D","17-18","4","Providing big buckets for waste collection ","200,000.00","Dustbin/Buckets","","",""
"9D","17-18","5","Providing buckets for waste segregation ","200,000.00","Dustbin/Buckets","","",""
"9D","17-18","6","Putting blocks","136777.28","Pavement blocks","","",""
"9D","17-18","7","Work related to electricity ","135,224.82","Electrification","","",""
"8A","18-19","1","Providing Jute bags ","200,000.00","Bags","","",""
"8A","18-19","2","Providing Jute bags ","200,000.00","Bags","","",""
"8A","18-19","3","Providing benches ","130,123.55","Benches","","",""
"8A","18-19","4","Providing big buckets ","200,000.00","Dustbin/Buckets","","",""
"8A","18-19","5","Electricity work in toilet","134,919.26","Electrification","","",""
"8A","18-19","6","Electricity work in toliet ","134,964.69","Electrification","","",""
"8A","18-19","7","Disaster Fund for Kerala floods","100,000.00","Help / Fund / Relief Work","","",""
"8A","18-19","8","Constructing staircase for Vihar","168,977.24","Buildings","","",""
"8A","18-19","9","Buying Canvas Bag Pet for GEM website ","197,316.00","Bags","Resolved","Description not clear and not understood. Pls check the source data ",""
"8B","18-19","1","Installation of Name/Sign boards ","140,107.97","Nameplates","","",""
"8B","18-19","2","Installation of Name/Sign boards ","177,905.49","Nameplates","","",""
"8B","18-19","3","Installation of Name/Sign boards ","177,905.49","Nameplates","","",""
"8B","18-19","4","Installation of Name/Sign boards ","177,905.49","Nameplates","","",""
"8B","18-19","5","Installation of Name/Sign boards ","140,107.97","Nameplates","","",""
"8B","18-19","6","Installation of Name/Sign boards ","140,107.97","Nameplates","","",""
"8B","18-19","7","Purchase of Single wheel Baro Gaadi ","200,000.00","Waste disposal","Resolved","Dont know what does the work mean hence code not selected ",""
"8B","18-19","8","Disaster Fund for Kerala floods","100,000.00","Help / Fund / Relief Work","","",""
"8B","18-19","9","Installation of Name/Sign boards ","79,463.58","Nameplates","","",""
"8C","18-19","1","Providing cotton bags ","200,000.00","Bags","","",""
"8C","18-19","2","Providing cotton bags ","200,000.00","Bags","","",""
"8C","18-19","3","Installation of Name/Sign boards ","165,727.43","Nameplates","","",""
"8C","18-19","4","Radaroda uchalane","95,691.11","Cleaning","","",""
"8C","18-19","5","Disaster Fund for Kerala floods","100,000.00","Help / Fund / Relief Work","","",""
"8C","18-19","6","Divider Painting","178,360.00","Traffic","","",""
"8C","18-19","7","Installation of Name/Sign boards ","176,729.40","Nameplates","","",""
"8C","18-19","8","Work related to Samaj Mandir ","177533.6","Buildings","","",""
"8C","18-19","9","Installation of Name/Sign boards ","176,729.40","Nameplates","","",""
"8D","18-19","1","Providing Jute bags ","200,000.00","Bags","","",""
"8D","18-19","2","Providing Jute bags ","200,000.00","Bags","","",""
"8D","18-19","3","Disaster Fund for Kerala floods","100,000.00","Help / Fund / Relief Work","","",""
"8D","18-19","4","Work related to Samaj Mandir ","174,928.32","Buildings","","",""
"8D","18-19","5","Work related to electricity ","197,819.92","Electrification","","",""
"8D","18-19","6","Electricty work in Vihar","199,780.00","Electrification","","",""
"8D","18-19","7","Developmental work related to Vihar ","177,915.20","Buildings","","",""
"8D","18-19","8","Installation of Name/Sign boards ","159,159.74","Nameplates","","",""
"9A","18-19","1","Radaroda uchalane and providing JCB ","176,222.79","Cleaning","","",""
"9A","18-19","2","Providing cotton bags ","200,000.00","Bags","","",""
"9A","18-19","3","Providing cotton bags ","200,000.00","Bags","","",""
"9A","18-19","4","Clearing drainage line by Jetting machine ","168,590.11","Drainage","","",""
"9A","18-19","5","providing benches ","154,172.68","Benches","","",""
"9A","18-19","6","Disaster Fund for Kerala floods","100,000.00","Help / Fund / Relief Work","","",""
"9A","18-19","7","Painting walls ","159,758.99","Colouring","","",""
"9A","18-19","8","Providing benches ","157,809.42","Benches","","",""
