"WANAWADI - RAM TEKDI","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"24A","19-20","4","sign boards","199,162.70","Nameplates","","",""
"24C","19-20","1","new drainage line  ","199,453.79","Drainage","","",""
"24C","19-20","2","new drainage line  ","98,243.26","Drainage","","",""
"24C","19-20","3","new drainage line  ","198,303.13","Drainage","","",""
"24C","19-20","4","new drainage line  ","198,359.75","Drainage","","",""
"24C","19-20","5","cctv installation ","198,654.18","CCTV","","",""
"24C","19-20","6","kapadi bags ","200,000.00","Bags","","",""
"24C","19-20","7","jute bags ","200,000.00","Bags","","",""
"24C","19-20","8","wall painting","199,588.00","Decoration","","",""
"25A","19-20","1","repair work","198,002.47","Maintenance","","",""
"25A","19-20","2","sign boards","199,414.63","Nameplates","","",""
"25A","19-20","3","sign boards","199,414.63","Nameplates","","",""
"25A","19-20","4","jute bags ","200,000.00","Bags","","",""
"25A","19-20","5","jute bags ","200,000.00","Bags","","",""
"25A","19-20","6","jute bags","200,000.00","Bags","","",""
"25B","19-20","1","jute bags ","200,000.00","Bags","","",""
"25B","19-20","2","jute bags ","100,000.00","Bags","","",""
"25B","19-20","3","jute bags ","200,000.00","Bags","","",""
"25B","19-20","4","sign boards","197,615.29","Nameplates","","",""
"25B","19-20","5","sign boards","197,619.92","Nameplates","","",""
"25B","19-20","6","concritization ","198,954.03","Concretization","","",""
"25B","19-20","7","concritization ","198,954.03","Concretization","","",""
"25B","19-20","8","concritization ","99,792.52","Concretization","","",""
"25B","19-20","9","sign boards","195,094.62","Nameplates","","",""
"25C","19-20","1","road related work","169,646.40","Road","","",""
"25C","19-20","2","ground development","190,177.83","Development work","Resolved","probably this goes under development work but not sure ",""
"25C","19-20","3","ground development","190,177.83","Development work","Resolved","",""
"25C","19-20","4","concritization ","195,881.84","Concretization","","",""
"25C","19-20","5","dambarikaran","195,863.25","Concretization","","",""
"25D","19-20","1","ground development","190,177.83","Garden","Resolved","","Garden code includes playground- Tanmay"
"25D","19-20","2","ground development","190,177.83","Garden","Resolved","","Garden code includes playground- Tanmay"
"25D","19-20","3","temple area concritization","194,999.20","Road","","",""
"25D","19-20","4","concritization ","195,670.00","Road","","",""
"27A","19-20","1","kapadi bags ","200,000.00","Bags","","",""
"27A","19-20","2","kapadi bags ","200,000.00","Bags","","",""
"27A","19-20","3","sign boards","198,216.94","Nameplates","","signboards and nameplates should be different codes",""
"27A","19-20","4","sign boards","198,216.94","Nameplates","","",""
"27A","19-20","5","sign boards","199,614.24","Nameplates","","",""
"27A","19-20","6","roshnai and related work ","185,802.72","Electrification","","",""
"27B","19-20","1","kapadi bags ","200,000.00","Bags","","",""
"27B","19-20","2","kapadi bags ","200,000.00","Bags","","",""
"27B","19-20","3","cleaning","197,533.39","Cleaning","","",""
"27B","19-20","4","sign boards","199,534.39","Nameplates","","",""
"27B","19-20","5","sign boards","199,614.24","Nameplates","","",""
"27B","19-20","6","sign boards","199,534.39","Nameplates","","",""
"27C","19-20","1","drainage related","177,614.14","Drainage","","",""
"27C","19-20","2","cleaning ","176,451.18","Cleaning","","",""
"27C","19-20","3","drainage work ","178,394.73","Drainage","","",""
"27C","19-20","4","cleaning","178,082.15","Cleaning","","",""
"27C","19-20","5","sign boards","69,804.14","Nameplates","","",""
"27C","19-20","6","cleaning ","85,866.38","Cleaning","","",""
"27C","19-20","7","kapadi bags ","200,000.00","Bags","","",""
"27C","19-20","8","kapadi bags ","200,000.00","Bags","","",""
"27D","19-20","1","speaker system and other electric work ","188,954.90","Electrification","","",""
"27D","19-20","2","gym repair work ","65,552.25","Gym","","",""
"27D","19-20","3","cleaning ","197,692.39","Cleaning","","",""
"27D","19-20","4","kapdi bags ","200,000.00","Bags","","",""
"27D","19-20","5","kapdi bags ","200,000.00","Bags","","",""
"24A","20-21","1","kapdi face masks ","198,243.33","Help / Fund / Relief Work","","",""
"24A","20-21","2","drainage related ","199,665.80","Drainage","","",""
"24A","20-21","3","kapdi facemasks and sanitizer ","199,271.33","Help / Fund / Relief Work","","",""
"24A","20-21","4","drainage related ","199,560.93","Drainage","","",""
"24A","20-21","5","drainage related ","199,188.25","Drainage","","",""
"24A","20-21","6","drainage related ","199,550.03","Drainage","","",""
"24A","20-21","7","drainage related ","197,583.68","Drainage","","",""
"24A","20-21","8","toilet repair ","199,158.62","Toilet","","",""
"24A","20-21","9","chamber repair ","197,236.73","Drainage","","",""
"24A","20-21","10","drainage related ","197,708.22","Drainage","","",""
"24C","20-21","1","face masks ","200,000.00","Help / Fund / Relief Work","","",""
"24C","20-21","2","concritization ","197,158.53","Concretization","","",""
"24C","20-21","3","drainage related ","197,494.30","Drainage","","",""
"24C","20-21","4","toilet repair and cleaning ","195,518.00","Toilet","","",""
"24C","20-21","5","drainage related ","199,648.19","Drainage","","",""
"24C","20-21","6","school repair work ","198,352.00","Buildings","Resolved","probably should go under development or building","Building is the right code"
"24C","20-21","7","drainage related ","199,489.70","Drainage","","",""
"24C","20-21","8","toilet repair ","197,598.13","Toilet","","",""
"24C","20-21","9","drainage related ","198,695.85","Drainage","","",""
"24C","20-21","10","chamber repair ","199,477.99","Drainage","","",""
"25A","20-21","1","cleaning","199,604.44","Drainage","","",""
"25A","20-21","2","drainage related ","199,409.56","Drainage","","",""
"25A","20-21","3","drainage related ","199,833.75","Drainage","","",""
"25A","20-21","4","drainage related ","199,037.25","Drainage","","",""
"25A","20-21","5","Foot operated wash basin","198,877.59","Help / Fund / Relief Work","","",""
"25A","20-21","6","mask","200,000.00","Help / Fund / Relief Work","","",""
"25A","20-21","7","toilet repair","199,654.29","Toilet","","",""
"25A","20-21","8","cateye","199,561.60","Road","","",""
"25A","20-21","9","thermoplastic paint","199,561.60","Road","","",""
"25B","20-21","1","kapdi bags","100,000.00","Bags","","",""
"25B","20-21","2","kapdi bags","200,000.00","Bags","","",""
"25B","20-21","3","kapdi bags","200,000.00","Bags","","",""
"25B","20-21","4","sanitizer","199,373.96","Help / Fund / Relief Work","","",""
"25B","20-21","5","mask","178,500.00","Help / Fund / Relief Work","","",""
"25B","20-21","6","drainage related ","199,824.95","Drainage","","",""
"25B","20-21","7","toilet repair","199,612.22","Toilet","","",""
