"KOTHRUD - BAVDHAN","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"10B","18-19","4","street light cables","152,626.83","Electrification","","",""
"10B","18-19","5","decoration","169,940.28","Decoration","","",""
"10B","18-19","6","jute bags","200,000.00","Bags","","",""
"10C","18-19","1","nam aani disha darshan falak","198,574.22","Nameplates","","",""
"10C","18-19","2","shed for old people","196,723.46","Buildings","Resolved","",""
"10C","18-19","3","nam aani disha darshan falak","195,894.93","Nameplates","","",""
"10C","18-19","4","footpath repair","80,675.25","Footpath","","",""
"10C","18-19","5","nam aani disha darshan falak","195,695.83","Nameplates","","",""
"10C","18-19","6","shed for old people","182,005.76","Benches","Resolved","",""
"10D","18-19","1","nam aani disha darshan falak","193,910.32","Nameplates","","",""
"10D","18-19","2","nam aani disha darshan falak","193,970.79","Nameplates","","",""
"10D","18-19","3","nam aani disha darshan falak","180,626.57","Nameplates","","",""
"10D","18-19","4","rada roda uchalne","97,995.82","Cleaning","","",""
"10D","18-19","5","disha darsha falak","200,000.00","Nameplates","","",""
"10D","18-19","6","kapdi pishvya","200,000.00","Bags","","",""
"10D","18-19","7","kapdi pishvya","200,000.00","Bags","","",""
"11A","18-19","1","electricfication works","145,352.11","Electrification","","",""
"11A","18-19","2","electricfication works","114,784.50","Electrification","","",""
"11A","18-19","3","toilet repair","153,006.74","Toilet","","",""
"11A","18-19","4","toilet repair","153,006.74","Toilet","","",""
"11A","18-19","5","toilet repair","146,103.48","Toilet","","",""
"11B","18-19","1","jute bags","200,000.00","Bags","","",""
"11C","18-19","1","toilet repair","174,513.04","Toilet","","",""
"11C","18-19","2","drainage related","174,275.56","Drainage","","",""
"11C","18-19","3","samaj mandir repair","196,180.74","Buildings","","",""
"11C","18-19","4","rada roda uchalne","169,972.29","Cleaning","","",""
"11C","18-19","5","jute bags","200,000.00","Bags","","",""
"11D","18-19","1","samaj mandir repair","192,211.94","Buildings","","",""
"11D","18-19","2","electricfication works","157,245.13","Electrification","","",""
"11D","18-19","3","drainage cleaning","192,182.79","Drainage","","",""
"11D","18-19","4","drainage cleaning","192,438.12","Drainage","","",""
"11D","18-19","5","drainage cleaning","191,868.34","Drainage","","",""
"12A","18-19","1","kapdi pishvya","200,000.00","Bags","","",""
"12A","18-19","2","rada roda uchalne","193,828.31","Cleaning","","",""
"12A","18-19","3","disha darsha falak","166,449.14","Nameplates","","",""
"12A","18-19","4","led","145,320.45","Electrification","","",""
"12A","18-19","5","drainage repair","197,627.84","Drainage","","",""
"12A","18-19","6","drainage repair","197,867.47","Drainage","","",""
"12A","18-19","7","drainage repair","197,670.11","Drainage","","",""
"12A","18-19","8","jute bags","100,000.00","Bags","","",""
"12B","18-19","1","kapdi pishvya","200,000.00","Bags","","",""
"12B","18-19","2","kapdi pishvya","200,000.00","Bags","","",""
"12B","18-19","3","kapdi pishvya","200,000.00","Bags","","",""
"12B","18-19","4","concretization","195,572.89","Concretization","","",""
"12B","18-19","5","pavement works","195,812.32","Pavement blocks","","",""
"12C","18-19","1","jute bags","200,000.00","Bags","","",""
"12C","18-19","2","jute bags","100,000.00","Bags","","",""
"12D","18-19","1","jute bags","200,000.00","Bags","","",""
"12D","18-19","2","chamber construction","161,485.74","Drainage","","",""
"12D","18-19","3","drainage repair","162,567.78","Drainage","","",""
"12D","18-19","4","pavsali line repair","161,985.61","Drainage","","",""
"12D","18-19","5","disha darsha falak","197,959.00","Nameplates","","",""
"12D","18-19","6","building repair","99,855.21","Buildings","","",""
"10A","19-20","1","footpath repair","147,300.00","Footpath","","",""
"10A","19-20","2","footpath repair","200,000.00","Footpath","","",""
"10A","19-20","3","pavement works","200,000.00","Pavement blocks","","",""
"10A","19-20","4","pavement works","157,386.00","Pavement blocks","","",""
"10A","19-20","5","concretization","140,800.00","Concretization","","",""
"10A","19-20","6","decoration","139,900.00","Decoration","","",""
"10B","19-20","1","shed for old people","176,070.21","Buildings","Resolved","",""
"10B","19-20","2","bollard and traffic related","187,022.00","Traffic","","",""
"10B","19-20","3","decoration","159,704.83","Decoration","","",""
"10B","19-20","4","samaj mandir repair","197,220.93","Buildings","","",""
"10B","19-20","5","vikas kam ","196,978.32","Development work","","",""
"10B","19-20","6","new drainage line and other related work","196,164.79","Drainage","","",""
"10B","19-20","7","new drainage line and other related work","196,604.66","Drainage","","",""
"10B","19-20","8","new drainage line and other related work","196,898.60","Drainage","","",""
"10C","19-20","1","shed and vachnalay for old people","178,106.01","Library","","",""
"10C","19-20","2","shed and vachnalay for old people","178,044.03","Library","","",""
"10C","19-20","3","chamber repair ","196,590.24","Drainage","","",""
"10C","19-20","4","footpath repair","196,749.92","Footpath","","",""
"10C","19-20","5","traffic related","197,017.79","Traffic","","",""
"10C","19-20","6","samaj mandir repair","197,481.09","Buildings","","",""
"10C","19-20","7","decoration","159,753.15","Decoration","","",""
"10C","19-20","8","decoration","98,746.35","Decoration","","",""
"10D","19-20","1","chamber repair","172,445.41","Drainage","","",""
"10D","19-20","2","disha darsha falak","194,091.15","Nameplates","","",""
"10D","19-20","3","disha darsha falak","194,177.29","Nameplates","","",""
"10D","19-20","4","drainage related","197,633.95","Drainage","","",""
"10D","19-20","5","drainage related","197,822.44","Drainage","","",""
"11A","19-20","1","chamber cleaning","155,903.70","Drainage","","",""
"11A","19-20","2","samaj mandir repair","139,724.79","Buildings","","",""
"11A","19-20","3","electrical work in hospitals","160,380.00","Electrification","","",""
"11A","19-20","4","electrical work ","140,164.00","Electrification","","",""
"11A","19-20","5","electrical work for toilets","159,908.00","Electrification","","",""
"11B","19-20","1","bags","200,000.00","Bags","","",""
"11C","19-20","1","drainage related","190,600.20","Drainage","","",""
"11C","19-20","2","disha darsha falak","196,133.41","Nameplates","","",""
"11C","19-20","3","rada roda uchalne","159,517.34","Cleaning","","",""
"11C","19-20","4","toilet repair","158,569.79","Toilet","","",""
"11C","19-20","5","bags","200,000.00","Bags","","",""
"11C","19-20","6","bags","200,000.00","Bags","","",""
"11C","19-20","7","bags","200,000.00","Bags","","",""
"11D","19-20","1","chamber related","106,896.08","Drainage","","",""
"11D","19-20","2","anganwadi repair and decoration","74,627.54","Buildings","","",""
"11D","19-20","3","electrical work","188,742.44","Electrification","","",""
"12A","19-20","1","road repair","199,112.49","Road","","",""
"12A","19-20","2","disha darsha falak","175,656.62","Nameplates","","",""
"12A","19-20","3","kapdi pishvya","200,000.00","Bags","","",""
"12B","19-20","1","concretization","194,487.54","Concretization","","",""
"12B","19-20","2","pavement works","197,649.18","Pavement blocks","","",""
"12B","19-20","3","jute bags","200,000.00","Bags","","",""
"12B","19-20","4","cable takun bas bar basavne","196,485.90","Electrification","Resolved","",""
"12C","19-20","1","bags","200,000.00","Bags","","",""
"12C","19-20","2","electrical works","156,125.11","Electrification","","",""
"12D","19-20","1","chamber repair","199,108.05","Drainage","","",""
"12D","19-20","2","pavement works","199,162.28","Pavement blocks","","",""
"12D","19-20","3","pavsali line cleaning","164,151.95","Drainage","","",""
"12D","19-20","4","chamber repair","199,108.05","Drainage","","",""
"12D","19-20","5","railing basavne","176,252.65","Traffic","","",""
"12D","19-20","6","pavement works","188,164.36","Pavement blocks","","",""
"12D","19-20","7","samaj mandir building","82,944.45","Buildings","","",""
"12D","19-20","8","disha darsha falak","197,288.24","Nameplates","","",""
"12D","19-20","9","benches","197,525.74","Benches","","",""
"12D","19-20","10","benches","197,802.94","Benches","","",""
"10A","20-21","1","mask","200,000.00","Help / Fund / Relief Work","","",""
"10A","20-21","2","soap","200,000.00","Help / Fund / Relief Work","","",""
"10A","20-21","3","kapdi mask","200,000.00","Help / Fund / Relief Work","","",""
"10A","20-21","4","phenyle","199,968.90","Cleaning","","",""
"10A","20-21","5","sanitizer stand","199,614.03","Help / Fund / Relief Work","","",""
"10A","20-21","6","sanitizer stand","199,614.03","Help / Fund / Relief Work","","",""
