"KASBA - VISHRAMBAUG WADA","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"29B","17-18","10","Nameplates","78,953.60","Nameplates","No Issue","",""
"29C","17-18","1","Electrical works","144,367.78","Electrification","No Issue","",""
"29C","17-18","2","Changing cables","81,842.61","Electrification","No Issue","",""
"29C","17-18","3","Traffic related works","79,673.30","Traffic","No Issue","",""
"29C","17-18","4","Drainage repairs","185,247.56","Drainage","No Issue","",""
"29C","17-18","5","Benches","155,046.22","Benches","No Issue","",""
"29C","17-18","6","Drainage repairs","185,489.63","Drainage","No Issue","",""
"29C","17-18","7","Wiring and electrical works in toilet","134,895.79","Toilet","No Issue","",""
"29C","17-18","8","Benches","144,894.36","Benches","No Issue","",""
"29C","17-18","9","Colouring works","153,336.35","Colouring","No Issue","",""
"29C","17-18","10","Benches","87,787.46","Benches","No Issue","",""
"29D","17-18","1","Jute bags distributed","200,000.00","Bags","No Issue","",""
"29D","17-18","2","Jute bags distributed","200,000.00","Bags","No Issue","",""
"29D","17-18","3","Cleaning work- Rada roda","172,466.25","Cleaning","No Issue","",""
"29D","17-18","4","Library shed","199,719.32","Library","No Issue","",""
"29D","17-18","5","Drainage repairs","143,714.24","Drainage","No Issue","",""
"29D","17-18","6","Water dispensers  ","112,546.47","Water supply","No Issue","",""
"29D","17-18","7","Traffic related works","153,802.52","Traffic","No Issue","",""
"29D","17-18","8","Buckets for waste disposal","191,103.32","Waste disposal","No Issue","",""
"29D","17-18","9","Nameplates","139,899.03","Nameplates","No Issue","",""
"15A","18-19","1","Footpath work","177,005.27","Footpath","No Issue","",""
"15A","18-19","2","Concretization work ","160,889.30","Concretization","No Issue","",""
"15A","18-19","3","Traffic related works","196,978.26","Traffic","No Issue","",""
"15A","18-19","4","Jute bags distributed","200,000.00","Bags","No Issue","",""
"15A","18-19","5","Jute bags distributed","100,000.00","Bags","No Issue","",""
"15A","18-19","6","Jute bags distributed","200,000.00","Bags","No Issue","",""
"15A","18-19","7","Cleaning work- Rada roda","159,470.08","Cleaning","No Issue","",""
"15A","18-19","8","Concretization work ","191,506.27","Concretization","No Issue","",""
"15A","18-19","9","Drainage repairs","196,681.52","Drainage","No Issue","",""
"15B","18-19","1","Repair works in school","199,349.78","Buildings","No Issue","",""
"15B","18-19","2","Repair works in school","186,845.83","Buildings","No Issue","",""
"15B","18-19","3","Jute bags distributed","200,000.00","Bags","No Issue","",""
"15B","18-19","4","Drainage repairs","197,602.03","Drainage","No Issue","",""
"15B","18-19","5","Footpath work","191,469.25","Footpath","No Issue","",""
"15B","18-19","6","Drainage repairs","197,644.87","Drainage","No Issue","",""
"15B","18-19","7","Library shed","147,227.46","Library","No Issue","",""
"15B","18-19","8","Library shed","175,384.09","Library","No Issue","",""
"15C","18-19","1","Jute bags distributed","200,000.00","Bags","No Issue","",""
"15C","18-19","2","Ghat repairs at Omkareshwar","150,819.16","Buildings","No Issue","",""
"15C","18-19","3","Repair works in school","154,288.52","Buildings","No Issue","",""
"15C","18-19","4","Jute bags distributed","200,000.00","Bags","No Issue","",""
"15C","18-19","5","Drainage repairs","155,420.23","Drainage","No Issue","",""
"15C","18-19","6","Drainage repairs","156,536.97","Drainage","No Issue","",""
"15C","18-19","7","Library shed","158,647.35","Library","No Issue","",""
"15C","18-19","8","Repair works in school","195,761.41","Buildings","No Issue","",""
"15D","18-19","1","Library shed","177,564.62","Library","No Issue","",""
"15D","18-19","2","Jute bags distributed","200,000.00","Bags","No Issue","",""
"15D","18-19","3","Jute bags distributed","200,000.00","Bags","No Issue","",""
"15D","18-19","4","Library shed","146,547.80","Library","No Issue","",""
"15D","18-19","5","Nameplates","87,484.32","Nameplates","No Issue","",""
"16A","18-19","1","Drainage repairs","151,849.05","Drainage","No Issue","",""
"16A","18-19","2","Jute bags distributed","200,000.00","Bags","No Issue","",""
"16A","18-19","3","Jute bags distributed","200,000.00","Bags","No Issue","",""
"16A","18-19","4","Toilet repairs","193,533.47","Toilet","No Issue","",""
"16A","18-19","5","Cleaning material supply","199,998.00","Cleaning","No Issue","",""
"16A","18-19","6","Jute bags distributed","200,000.00","Bags","No Issue","",""
"16A","18-19","7","Development works in PMC","197,815.34","Development work","No Issue","",""
"16A","18-19","8","Drainage repairs","94,419.23","Drainage","No Issue","",""
"16B","18-19","1","Drainage repairs","198,266.68","Drainage","No Issue","",""
"16B","18-19","2","Drainage repairs","198,498.76","Drainage","No Issue","",""
"16B","18-19","3","Drainage repairs","195,992.54","Drainage","No Issue","",""
"16B","18-19","4","Concretization work ","197,709.96","Concretization","No Issue","",""
"16B","18-19","5","Concretization work ","198,291.21","Concretization","No Issue","",""
"16B","18-19","6","Jute bags distributed","200,000.00","Bags","No Issue","",""
"16B","18-19","7","Jute bags distributed","100,000.00","Bags","No Issue","",""
"16C","18-19","1","Toilet repairs","189,698.53","Toilet","No Issue","",""
"16C","18-19","2","Toilet repairs","96,436.74","Toilet","No Issue","",""
"16C","18-19","3","Water pipeline","87,929.46","Water supply","No Issue","",""
"16C","18-19","4","Nameplate at Fire brigade station","137,725.60","Nameplates","No Issue","",""
"16C","18-19","5","Jute bags distributed","200,000.00","Bags","No Issue","",""
"16C","18-19","6","Jute bags distributed","200,000.00","Bags","No Issue","",""
"16C","18-19","7","Jute bags distributed","200,000.00","Bags","No Issue","",""
"16C","18-19","8","Jute bags distributed","200,000.00","Bags","No Issue","",""
"16C","18-19","9","Cleaning work- Rada roda","171,430.34","Cleaning","No Issue","",""
"16D","18-19","1","Cleaning work- Rada roda","176,957.42","Cleaning","No Issue","",""
"16D","18-19","2","Canvas bags","100,000.00","Bags","No Issue","",""
"16D","18-19","3","Canvas bags","200,000.00","Bags","No Issue","",""
"16D","18-19","4","Canvas bags","200,000.00","Bags","No Issue","",""
"16D","18-19","5","Drainage repairs","171,880.51","Drainage","No Issue","",""
"16D","18-19","6","Nameplates ","163,975.24","Nameplates","No Issue","",""
"16D","18-19","7","Chairs in school","176,968.51","Furniture","No Issue","",""
