"BHAVANI PETH","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","0","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","",""
"19B","19-20","5","Chamber alignment","194,252.02","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19B","19-20","6","Rain line repairs and related works","196,749.89","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19C","19-20","1","Chamber alignment","197,362.14","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19C","19-20","2","Direction boards","192,127.05","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"19C","19-20","3","Chamber clearing and cleaning","197,490.02","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19C","19-20","4","Direction boards","196,584.42","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"19C","19-20","5","Chamber alignment","197,450.37","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19C","19-20","6","Direction boards","196,243.27","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"19C","19-20","7","Chamber clearing and cleaning","197,228.68","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19C","19-20","8","Garbage Pick up","195,592.12","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"19C","19-20","9","Chamber repair related works","195,187.44","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19D","19-20","1","Chamber replacement and repairs","197,665.01","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19D","19-20","2","Toilet repairs","198,040.93","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"19D","19-20","3","Toilet repairs","198,256.36","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"19D","19-20","4","Chamber replacement and repairs","197,175.68","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19D","19-20","5","Drainage line laying and repairs","198,592.71","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19D","19-20","6","Drainage line laying and chamber installation","198,028.97","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19D","19-20","7","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"19D","19-20","8","Developmental works at Urdu Study Hall","195,988.22","Library","No Issue","","","","","","","","","","","","","","","","","",""
"17A","20-21","1","Cotton Masks supply","200,000.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"17A","20-21","2","Garbage Pick up","197,712.36","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"17A","20-21","3","Garbage Pick up","197,712.36","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"17A","20-21","4","Toilet repairs","198,084.02","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"17A","20-21","5","Chamber alignment and repair works","198,007.29","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17A","20-21","6","Drainage line repairs","197,967.08","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17A","20-21","7","Chamber repairs","197,703.18","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17A","20-21","8","Toilet repairs","197,390.39","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"17A","20-21","9","Chamber alignment and repair works","179,030.65","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17B","20-21","1","Cotton Masks supply","200,000.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"17B","20-21","2","Garbage Pick up","196,509.12","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"17B","20-21","3","Garbage Pick up","196,509.12","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"17B","20-21","4","Toilet repairs","197,682.69","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"17B","20-21","5","Kabristan Repairs","196,749.07","Cemetory / Crematorium","No Issue","","","","","","","","","","","","","","","","","",""
"17B","20-21","6","Toilet repairs","197,243.73","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"17B","20-21","7","Chamber repairs","197,491.55","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17B","20-21","8","Drainage line repairs","196,981.90","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17B","20-21","9","Drainage line repairs","195,451.03","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17B","20-21","10","Chamber alignment and repair works","195,525.11","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17C","20-21","1","Cotton Masks supply","200,000.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"17C","20-21","2","Toilet repairs","195,554.31","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"17C","20-21","3","Garbage Pick up","197,712.36","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"17C","20-21","4","Garbage Pick up","197,712.36","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"17C","20-21","5","Chamber alignment and repair works","197,653.86","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17C","20-21","6","Drainage line repairs","197,818.32","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17C","20-21","7","Drainage line repairs","197,499.51","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17C","20-21","8","Toilet repairs","197,741.89","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"17C","20-21","9","Chamber repairs","197,334.76","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17C","20-21","10","Chamber alignment and repair works","179,454.80","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17D","20-21","1","Cotton Masks supply","200,000.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"17D","20-21","2","Drainage line installation","197,340.38","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17D","20-21","3","Drainage line installation","197,818.09","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17D","20-21","4","Chamber alignment and clearing","197,651.88","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17D","20-21","5","Concretization","197,285.22","Concretization","No Issue","","","","","","","","","","","","","","","","","",""
"17D","20-21","6","Drainage line installation","197,618.66","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17D","20-21","7","Drainage line installation","197,580.27","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17D","20-21","8","Foot Operated Hand Sanitizer stand","197,781.22","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"17D","20-21","9","Foot Operated Hand Sanitizer stand","197,781.22","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"17D","20-21","10","Drainage line installation","194,022.32","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18A","20-21","1","Cotton Masks supply","200,000.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"18A","20-21","2","Direction boards","195,061.20","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"18A","20-21","3","Drainage Line cleaning","196,667.77","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18A","20-21","4","Drainage Line cleaning","197,322.89","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18A","20-21","5","Drainage line cleaning and Chamber alignment","197,462.20","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18A","20-21","6","Concretization","195,063.21","Concretization","No Issue","","","","","","","","","","","","","","","","","",""
"18A","20-21","7","Garbage Pick up","178,007.20","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"18B","20-21","1","Black Phenyl Supply for toilets and urinals","199,962.00","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"18B","20-21","2","Cotton Masks supply","200,000.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"18B","20-21","3","Drainage Line repairs","193,736.13","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18B","20-21","4","Drainage Line repairs","196,275.70","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18B","20-21","5","Drainage Line repairs","196,110.32","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18B","20-21","6","Drainage Line repairs","196,214.80","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18B","20-21","7","Drainage Line repairs","195,707.51","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18C","20-21","1","Cotton Masks supply","200,000.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"18C","20-21","2","Chamber alignment and Manhole repairs","197,908.48","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18C","20-21","3","Toilet repairs","197,742.84","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"18C","20-21","4","Drainage line cleaning and chamber clearing","196,511.34","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18C","20-21","5","Hand wash basin distribution","199,558.07","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"18C","20-21","6","Hand wash basin distribution","199,558.07","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"18C","20-21","7","Black Phenyl Supply for toilets and urinals","99,981.00","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"18D","20-21","1","Drainage related works","196,608.25","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18D","20-21","2","Drainage related works","196,912.58","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18D","20-21","3","Toilet repairs","196,497.59","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"18D","20-21","4","Drainage related works","196,531.29","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18D","20-21","5","Toilet repairs","196,776.74","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"18D","20-21","6","Drainage related works","197,444.33","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18D","20-21","7","Cotton Masks supply","200,000.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"18D","20-21","8","Chamber repairs","197,396.97","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18D","20-21","9","Chamber repairs","192,120.08","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18D","20-21","10","Foot operated wash basin ","197,484.02","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"19A","20-21","1","Cotton Masks supply","200,000.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"19A","20-21","2","Drainage line cleaning and chamber repairs","197,908.73","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19A","20-21","3","Virangula center works","195,789.39","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"19A","20-21","4","Concretization","189,450.72","Concretization","No Issue","","","","","","","","","","","","","","","","","",""
"19A","20-21","5","Direction boards","197,574.64","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"19A","20-21","6","Electrical works in samaaj mandir","197,256.59","Electrification","No Issue","","","","","","","","","","","","","","","","","",""
"19A","20-21","7","Samaaj Mandir repairs","197,630.42","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"19A","20-21","8","Sports center repairs","194,380.01","Gym","No Issue","","","","","","","","","","","","","","","","","",""
"19B","20-21","1","Cotton Masks supply","200,000.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"19B","20-21","2","Motor Stand repairs","191,379.17","Maintenance","No Issue","","","","","","","","","","","","","","","","","",""
"19B","20-21","3","Direction boards","197,497.35","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"19B","20-21","4","Drainage Line laying","197,228.33","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19B","20-21","5","Reading hall construction and repairs","197,864.21","Library","No Issue","","","","","","","","","","","","","","","","","",""
"19C","20-21","1","Chamber repairs","197,260.21","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19C","20-21","2","Rain cover changes","197,453.95","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19C","20-21","3","Chamber alignment","196,822.36","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19C","20-21","4","Chamber repairs and cleaning","197,494.94","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19C","20-21","5","Chamber alignment","196,890.18","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19C","20-21","6","Chamber repairs and cleaning","197,431.54","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19C","20-21","7","Chamber repairs","196,418.13","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19C","20-21","8","Cotton Masks supply","200,000.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"19C","20-21","9","Repairs and developmental works","197,920.00","Development work","No Issue","","","","","","","","","","","","","","","","","",""
"19D","20-21","1","Chamber repairs","197,268.30","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19D","20-21","2","Drainage Line Clearing","197,418.06","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19D","20-21","3","Chamber repairs","197,268.30","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19D","20-21","4","Drainage Line Cleaning","197,124.32","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19D","20-21","5","Hands Free Sanitizer Wash Basin installation","199,917.88","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"19D","20-21","6","Brick mortar benches","197,247.06","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"19D","20-21","7","Boards for Corporation School","198,134.44","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"19D","20-21","8","BSNL Office Library","196,451.98","Library","No Issue","","","","","","","","","","","","","","","","","",""
"19D","20-21","9","Reading hall","196,451.98","Library","No Issue","","","","","","","","","","","","","","","","","",""
"19D","20-21","10","Boards for Corporation Clinics","197,083.48","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
