"BHAVANI PETH","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","0","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","",""
"19A","17-18","4","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"19B","17-18","1","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"19B","17-18","2","Chamber repairs","185,933.09","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19B","17-18","3","Speedbreaker","189,225.59","Road","No Issue","","","","","","","","","","","","","","","","","",""
"19B","17-18","4","Lanes concretization","189,076.92","Concretization","No Issue","","","","","","","","","","","","","","","","","",""
"19B","17-18","5","School Beautification","180,842.71","Decoration","No Issue","","","","","","","","","","","","","","","","","",""
"19C","17-18","1","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"19C","17-18","2","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"19C","17-18","3","Chamber repair and drainage line cleaning","133,122.55","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19C","17-18","4","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"19C","17-18","5","Drainage meshes replacements","199,151.44","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19C","17-18","6","Drainage meshes replacements","191,559.53","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19C","17-18","7","Chamber repair and drainage line cleaning","56,653.25","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19C","17-18","8","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"19C","17-18","9","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"19C","17-18","10","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"19C","17-18","11","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"19D","17-18","1","Clearing of rainy chambers","188,804.90","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19D","17-18","2","Drainage line","182,273.79","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19D","17-18","3","Drainage line","187,523.90","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19D","17-18","7","Chamber repairs","189,648.29","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19D","17-18","8","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"19D","17-18","9","Chamber repairs","155,521.28","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19D","17-18","10","Lanes concretization","127,926.30","Concretization","No Issue","","","","","","","","","","","","","","","","","",""
"19D","17-18","11","Garbage Pick up","179,852.40","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"19D","17-18","12","Drainage line cleaning","191,446.30","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
