"Ward Office Name","Prabhag Name","Prabhag No.","Place","Corporator Name","Gender","Party","Criminal_Records (Yes/No)","","","","","","","","","","","","","","","","","",""
"Nagar Road - Vadgaonsheri Ward Office","Vadagaon Sheri - Kalyaninagar","5","A","Sunita Galande","F","","","","","","","","","","","","","","","","","","","",""
"Nagar Road - Vadgaonsheri Ward Office","Vadagaon Sheri - Kalyaninagar","5","B","Shital Dnyaneshwar Shinde","F","","","","","","","","","","","","","","","","","","","",""
"Nagar Road - Vadgaonsheri Ward Office","Vadagaon Sheri - Kalyaninagar","5","C","Mulik Yogesh Tukaram","M","","","","","","","","","","","","","","","","","","","",""
"Nagar Road - Vadgaonsheri Ward Office","Vadagaon Sheri - Kalyaninagar","5","D","Jarhad Sandip Namdev","M","","","","","","","","","","","","","","","","","","","",""
"Yeravada Kalas Dhanori Ward Office","Yerawada","6","A","Adv. Avinash Raj Salve","M","","","","","","","","","","","","","","","","","","","",""
"Yeravada Kalas Dhanori Ward Office","Yerawada","6","B","Chavan Shewta Shrisheth (Anil)","F","","","","","","","","","","","","","","","","","","","",""
"Yeravada Kalas Dhanori Ward Office","Yerawada","6","C","Landge Ashwini Danial","F","","","","","","","","","","","","","","","","","","","",""
"Yeravada Kalas Dhanori Ward Office","Yerawada","6","D","Bhosale Sanjay Shashikant","M","","","","","","","","","","","","","","","","","","","",""
"Shivajinagar - Ghole Road Ward Office","Pune University - Wakadewadi","7","A","Landage Sonali Santosh","F","","","","","","","","","","","","","","","","","","","",""
"Shivajinagar - Ghole Road Ward Office","Pune University - Wakadewadi","7","B","Kale Rajshree Dnyaneshwar","F","","","","","","","","","","","","","","","","","","","",""
"Shivajinagar - Ghole Road Ward Office","Pune University - Wakadewadi","7","C","Malwe Aaditya Anil","M","","","","","","","","","","","","","","","","","","","",""
"Shivajinagar - Ghole Road Ward Office","Pune University - Wakadewadi","7","D","Bhosale Reshma Anil","F","","","","","","","","","","","","","","","","","","","",""
"Aundh - Baner Ward Office","Aundh -Bopodi","8","A","Sunita Parshuram Wadekar","F","","","","","","","","","","","","","","","","","","","",""
"Aundh - Baner Ward Office","Aundh -Bopodi","8","B","Archana Madhukar Musale","F","","","","","","","","","","","","","","","","","","","",""
"Aundh - Baner Ward Office","Baner-Balevadi-Pashan","9","A","Saikar Swapnali Pralhad","F","","","","","","","","","","","","","","","","","","","",""
"Aundh - Baner Ward Office","Baner-Balevadi-Pashan","9","B","Jyoti Ganesh Kalamkar","F","","","","","","","","","","","","","","","","","","","",""
"Aundh - Baner Ward Office","Baner-Balevadi-Pashan","9","C","Amol Ratan Balwadkar","M","","","","","","","","","","","","","","","","","","","",""
"Aundh - Baner Ward Office","Baner-Balevadi-Pashan","9","D","Baburao Dattoba Chandere","M","","","","","","","","","","","","","","","","","","","",""
"Kothrud - Bawdhan Ward Office","Bavdhan-Kothrud Depot","10","A","Kiran Dagade Patil","M","","","","","","","","","","","","","","","","","","","",""
