"DHANKAWADI - SAHAKAR NAGAR","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"40B","18-19","8","Installing nameplates","95,944.41","Nameplates","Resolved","Wrong amount in the received information. Extra digit maybe.","Corrected as 95941.44"
"40C","18-19","1","Picking up radar waste","89,184.82","Waste disposal","No Issue","",""
"40C","18-19","2","Drainage line cleaning and repairing","197,930.06","Drainage","No Issue","",""
"40C","18-19","3","Picking up radar waste","194,595.20","Waste disposal","No Issue","",""
"40D","18-19","1","Drainage line and concrete work","197,697.84","Drainage","No Issue","",""
"40D","18-19","2","Fencing work for park","188,239.97","Fencing","No Issue","",""
"40D","18-19","3","Installing sheds","192,772.67","Development work","No Issue","",""
"40D","18-19","4","Supplying cloth bags","200,000.00","Bags","No Issue","",""
"40D","18-19","5","Supplying cloth bags","200,000.00","Bags","No Issue","",""
"40D","18-19","6","Installing sheds","192,772.67","Development work","No Issue","",""
"40D","18-19","7","Installing facilities in park","98,789.65","Garden","No Issue","",""
"40D","18-19","8","Installing attractive items in park","196,310.84","Garden","No Issue","",""
"35A","19-20","1","Drainage repairing related work","199,962.45","Drainage","No Issue","",""
"35A","19-20","2","Drainage repairing related work","197,257.96","Drainage","No Issue","",""
"35A","19-20","3","Road related work","197,515.98","Road","No Issue","",""
"35A","19-20","4","Community temple repairing","194,516.54","Development work","No Issue","",""
"35A","19-20","5","Supplying murum","99,875.87","Development work","Resolved","I think this is related to rocks used in construction but not sure.","Looks okay"
"35A","19-20","6","Electricity related work","196,279.64","Electrification","No Issue","",""
"35A","19-20","7","Installation of water lines","196,819.80","Water supply","No Issue","",""
"35B","19-20","1","Picking up radar waste and repairing work","199,942.44","Waste disposal","No Issue","",""
"35B","19-20","2","Setting up electricity items in toilets","193,151.41","Toilet","No Issue","",""
"35B","19-20","3","Drainage cleaning and repairing","199,823.89","Drainage","No Issue","",""
"35B","19-20","4","Drainage cleaning and repairing","199,615.29","Drainage","No Issue","",""
"35B","19-20","5","Installation of GI line","199,549.40","Water supply","No Issue","",""
"35B","19-20","6","Electricity related work","196,219.76","Electrification","No Issue","",""
"35B","19-20","7","Electricity repairing related work","196,896.20","Electrification","No Issue","",""
"35B","19-20","8","Installation of CCTV cameras","195,466.81","CCTV","No Issue","",""
"35B","19-20","9","Installation of GI line","199,666.94","Water supply","No Issue","",""
"35B","19-20","10","Installation of GI line","190,045.94","Water supply","No Issue","",""
"35C","19-20","1","Installing direction boards","181,585.21","Nameplates","No Issue","",""
"35C","19-20","2","Repairing work in schools","197,544.45","Maintenance","No Issue","",""
"35C","19-20","3","Fencing and other work","196,640.71","Fencing","No Issue","",""
"35C","19-20","4","Installation of water lines","168,700.84","Water supply","No Issue","",""
"35C","19-20","5","Coloring work","198,869.44","Colouring","No Issue","",""
"35C","19-20","6","Library related work","198,967.50","Library","No Issue","",""
"35C","19-20","7","Installation of various lines","183,860.63","Water supply","Resolved","I think this might be water line but it is not mentioned what lines work is done","Yes, water line. "
"35D","19-20","1","Supplying cloth bags","200,000.00","Bags","No Issue","",""
"35D","19-20","2","Supplying cloth bags","200,000.00","Bags","No Issue","",""
"35D","19-20","3","Supplying cloth bags","100,000.00","Bags","No Issue","",""
"35D","19-20","4","Installation of GI line","199,657.98","Water supply","No Issue","",""
"35D","19-20","5","Supplying gym items","197,382.44","Gym","No Issue","",""
"35D","19-20","6","Road related work","198,432.30","Road","No Issue","",""
"35D","19-20","7","Drainage related work","199,846.08","Drainage","No Issue","",""
"35D","19-20","8","Water supply","186,081.09","Water supply","Resolved","Used development work for now. Can someone double check?","Pani Purawtha- Water supply"
"39A","19-20","1","Electricity related work","196,996.06","Electrification","No Issue","",""
"39A","19-20","2","Supplying cloth bags","200,000.00","Bags","No Issue","",""
"39A","19-20","3","Supplying cloth bags","200,000.00","Bags","No Issue","",""
"39A","19-20","4","Vehicles related work","99,027.59","Traffic","No Issue","",""
"39A","19-20","5","Fencing related work and sign boards","199,811.21","Fencing","No Issue","",""
"39A","19-20","6","Road related work","199,530.08","Road","No Issue","",""
"39A","19-20","7","Drainage repairing work","199,638.33","Drainage","No Issue","",""
"39A","19-20","8","Supplying cloth bags","100,000.00","Bags","No Issue","",""
"39B","19-20","1","Paving block footpath related work","197,003.87","Footpath","No Issue","",""
"39B","19-20","2","Installation of rainwater lines","199,008.59","Drainage","No Issue","",""
"39B","19-20","3","Paving block footpath related work","174,042.39","Footpath","No Issue","",""
"39B","19-20","4","Installation of drainage lines","199,843.09","Drainage","No Issue","",""
"39B","19-20","5","Cleaning of drainage lines","199,867.86","Drainage","No Issue","",""
"39B","19-20","6","Concrete related work in lanes","174,298.41","Concretization","No Issue","",""
"39B","19-20","7","Installation of paving blocks","173,939.98","Pavement blocks","No Issue","",""
"39B","19-20","8","Supplying cloth bags","200,000.00","Bags","No Issue","",""
"39B","19-20","9","Supplying cloth bags","100,000.00","Bags","No Issue","",""
"39C","19-20","1","CCTV camera installation","191,647.02","CCTV","No Issue","",""
"39C","19-20","2","Road concretization","99,698.09","Road","No Issue","",""
"39C","19-20","3","Chamber alignment and repairing","196,756.85","Drainage","No Issue","",""
"39C","19-20","4","Footpath repairing","197,150.46","Footpath","No Issue","",""
"39C","19-20","5","Footpath repairing","189,956.55","Footpath","No Issue","",""
"39D","19-20","1","Adding nameplates and other work","198,882.32","Nameplates","No Issue","",""
"39D","19-20","2","Adding nameplates and other work","99,112.64","Nameplates","No Issue","",""
