"Prabhag 65B : Kamal Vyavhare","","","","","","",""
"Year","No.","Details of the work","Amount","Code","Questions raised","GB attendance",""
"2012 - 2013","1","Electrification related works","188419","E","0","42/66",""
"2012 - 2013","2","Transit camp","200000","DW","","",""
"2012 - 2013","3","Applying paint and catus eye","200000","CT","","",""
"2012 - 2013","4","Painting and laying tiles","200000","CT","","",""
"2012 - 2013","5","Drainage Line and laying Tiles","200000","D","","",""
"2012 - 2013","6","Rangasfhedi","200000","CT","","",""
"2012 - 2013","8","Installation of Benches","200000","B","","",""
"","","Total","1388419","","","",""
"2013 - 2014","1","Constructing Iron Grill and Painting ","196854","CT","0","51/77",""
"2013 - 2014","2","Installing Benches","169424","B","","",""
"2013 - 2014","3","Buying Buckets","195804","DB","","",""
"2013 - 2014","4","Buying Jute Bags","169692","J","","",""
"2013 - 2014","5","Collecting Waste","96533","M","","",""
"2013 - 2014","6","Collecting Waste","94252","M","","",""
"2013 - 2014","7","Buying Buckets","196000","DB","","",""
"2013 - 2014","8","Electrification Related Works","91265","E","","",""
"2013 - 2014","9","Providing Computers","200000","CO","","",""
"","","Total","1409824","","","",""
"2014-2015","1","Collecting Waste","177917","WD","0","84/116",""
"2014 - 2015","2","Providing Benches","1671133","B","","",""
"2014 - 2015","3","Providing Gym Equipments","147000","GY","","",""
"2014-2015","4","Collecting Waste","200000","WD","","",""
"2014-2015","5","Constructing Speed Breaker","176494","R","","",""
"","","Total","2372544","","","",""
"2015 - 2016","1","Jute bags / Canvas bags","100000","J","0","95/127",""
"2015 - 2016","2","Cleaning Drainage Line and Chamber","184000","D","","",""
"2015 - 2016","3","Cleaning Drainage Line and Chamber","164000","D","","",""
"2015 - 2016","4","Maintenance/cleaning","161000","M","","",""
"2015 - 2016","5","Jute bags / Canvas bags","200000","J","","",""
"","","Total","809000","","","",""
"","","","","","","",""
"","","Final Total","5979787","","","",""
"","","","","","","",""
