"Prabhag 23B : Sangita Tikone","","","","","","",""
"Year","No.","Details of the work","Amount","Code","Questions raised","GB attendance","Attendance percentage"
"2012 - 2013","1","Benches","140594","B","0","55/66","83.33"
"2012 - 2013","2","Building of Bus stop","136789","BS","","",""
"2012 - 2013","3","Building of Bus stop","121277","BS","","",""
"2012 - 2013","4","Building of Bus stop","136789","BS","","",""
"2012 - 2013","5","Concretization ","191533","C","","",""
"2012 - 2013","6","Concretization ","194355","C","","",""
"2012 - 2013","7","Mutton market maintenance","146477","MK","","",""
"","","Total","1067814","","","",""
"2013 - 2014","1","Benches","161149","B","0","55/77","71.42"
"2013 - 2014","2","Benches","161149","B","","",""
"2013 - 2014","3","police station fencing","153240","FE","","",""
"2013 - 2014","4","Alluminium Channelling of toilets- hospital","137494","H","","",""
"2013 - 2014","5","Toilet Renovation and related work","157414","TO","","",""
"2013 - 2014","6","Toilet Renovation and related work","162116","TO","","",""
"2013 - 2014","7","Samaj Mandir/ Related work/ Renovation","167343","SM","","",""
"2013 - 2014","8","Benches","169697","B","","",""
"","","Total","1269602","","","",""
"2014 - 2015","3","Benches","163032","B","","",""
"2014 - 2015","4","Construction for Care taker","157892","SM","","",""
"2014 - 2015","5","Building stainless steel bolard","135823","R","","",""
"2014 - 2015","8","Samaj Mandir/ Related work/ Renovation","188107","SM","","",""
"","","Total","644854","","","",""
"2015 - 2016","1","Drainage work+ Concretisation","176396","D","0","111/127",""
"2015 - 2016","2","Jute bags","200000","J","","",""
"2015 - 2016","3","Jute bags","200000","J","","",""
"2015 - 2016","5","Benches","154618","B","","",""
"2015 - 2016","6","Development Work","199306","DW","","",""
"","","Total","930320","","","",""
"","","","","","","",""
"","","Final Total","3912590","","0","","77.375"
