"Prabhag 48B : Udaykant Andekar","","","","","","",""
"Year","No.","Details of the work","Amount","Code","Questions raised","GB attendance",""
"2012 - 2013","1","Building Toilet","192784","T","0","",""
"2012 - 2013","2","Laying Drainage line","173109","D","","",""
"2012 - 2013","3","Concretisation of Road","199516","C","","",""
"2012 - 2013","4","Building Toilet","173089","T","","",""
"2012 - 2013","5","Laying Drainage line","199740","D","","",""
"2012 - 2013","6","Cleaning Drainage Line","194804","D","","",""
"2012 - 2013","7","Concretisation of Road","177791","C","","",""
"2012 - 2013","8","Fitting LED lights","124139","E","","",""
"","","","","","","",""
"","","","","","","",""
"","","Total","1434972","","","",""
"2013 - 2014","1","Laying Drainage Line","199514","","0","",""
"2013 - 2014","2","Concretisation","199697","","","",""
"2013 - 2014","3","Cleaning and Laying Drainage Line","199662","","","",""
"2013 - 2014","4","Reparing Drainage Line","199504","","","",""
"2013 - 2014","5","Renovating Toilet","198708","","","",""
"2013 - 2014","6","Repairing Chambers","199566","","","",""
"2013 - 2014","7","Providing Jute Bags","199990","","","",""
"2013 - 2014","8","Collecting of Waste","199264","","","",""
"2013 - 2014","9","Builiding Toilets","199783","","","",""
"","","","","","","",""
"","","","","","","",""
"","","Total","1795688","","","",""
"2014 - 2015","1","Concretisation","196450","","0","",""
"2014 - 2015","2","Buying Buckets","200000","","","",""
"2014 - 2015","3","Building Anganwadi","200000","","","",""
"2014 - 2015","4","Laying Drainage Line","193892","","","",""
"2014 - 2015","5","Reparing Drainage Line and Installing Iron Mesh","196890","","","",""
"2014 - 2015","6","Cleaning Drainage Line","195139","","","",""
"2014 - 2015","7","Laying Drainage Line","192643","","","",""
"2014 - 2015","8","Laying Drainage Line","196489","","","",""
"2014 - 2015","9","Buying Sewing Machine","200000","","","",""
"","","","","","","",""
"","","","","","","",""
"","","Total","1771503","","","",""
"2015 - 2016","1","","","","0","",""
"2015 - 2016","2","","","","","",""
"2015 - 2016","3","","","","","",""
"2015 - 2016","4","","","","","",""
"","","Total","0","","","",""
"","","","","","","",""
"","","Final Total","5002163","","","",""
"","","","","","","",""
