"Prabhag 47B :Jilehuma Khan","","","","","","",""
"Year","No.","Details of the work","Amount","Code","Questions raised","GB attendance",""
"2012 - 2013","1","Toilet Works","142157","TO","0","",""
"2012 - 2013","2","Concretisation","181212","C","","",""
"2012 - 2013","3","Footpath Work","193876","F","","",""
"2012 - 2013","4","Laying Drainage Line +Concretisation","175965","D+C","","",""
"2012 - 2013","5","Decoration near Cemetery","","","","",""
"2012 - 2013","6","Laying Drainage Line +Concretisation","165985","D+C","","",""
"2012 - 2013","7","Footpath Work opposite Cemetery","193876","F","","",""
"2012 - 2013","8","Laying Tiles ","185675","T","","",""
"2012 - 2013","9","Laying Tiles ","185632","T","","",""
"2012 - 2013","10","Doing Remaining Samaj Mandir Work","166672","SM","","",""
"","","","","","","",""
"","","Total","1591050","","","",""
"2013 - 2014","1","Laying Drainage Line and Repairing Chamber","120289","","0","",""
"2013 - 2014","2","Cleaning Drainage Line","162474","","","",""
"2013 - 2014","3","Concretisation","159703","","","",""
"2013 - 2014","4","Building Gate and Related Works","199533","","","",""
"2013 - 2014","5","Repairing Toilet","199594","","","",""
"2013 - 2014","6","Repairing Footpath","199834","","","",""
"2013 - 2014","7","Laying Drainage Line ","78372","","","",""
"2013 - 2014","8","Installing Benches","182172","","","",""
"2013 - 2014","9","Installing Benches","182172","","","",""
"2013 - 2014","10","Providing LED Lights","144000","","","",""
"","","","","","","",""
"","","","","","","",""
"","","Total","1628143","","","",""
"2014 - 2015","1","Reparing Chambers","184953","","0","",""
"2014 - 2015","2","Providing Jute Bags","200000","","","",""
"2014 - 2015","3","Providing Jute Bags","200000","","","",""
"2014 - 2015","4","Collecting Waste","183402","","","",""
"2014 - 2015","5","Collecting Waste","188488","","","",""
"2014 - 2015","6","Repairing Toilet and related work","159084","","","",""
"2014 - 2015","7","Providing Benches","161454","","","",""
"2014 - 2015","8","Development and Computer related work","200000","","","",""
"2014 - 2015","9","Concretisation","200000","","","",""
"2014 - 2015","10","Installing Directional Boards and Nameplates","166842","","","",""
"","","Total","1844223","","","",""
"2015 - 2016","1","","","","0","",""
"2015 - 2016","2","","","","","",""
"2015 - 2016","3","","","","","",""
"2015 - 2016","4","","","","","",""
"","","Total","0","","","",""
"","","","","","","",""
"","","Final Total","5063416","","","",""
"","","","","","","",""
