"Prabhag 38A : Anita Dakhave","","","","","","",""
"Year","No.","Details of the work","Amount","Code","Questions raised","GB attendance","GB attendance"
"2012 - 2013","1","Providing Waste Collecting Vehicle","157000","M","0","45/66","68.18"
"2012 - 2013","2","Installation of Benches","161000","B","","",""
"2012 - 2013","3","Installation of Benches","161000","B","","",""
"2012 - 2013","4","Collecting Waste","198000","M","","",""
"2012 - 2013","5","Reparing Drainage Line","199000","D","","",""
"2012 - 2013","6","Reparing Footpath","199000","F","","",""
"2012 - 2013","7","Concretisation","199000","C","","",""
"2012 - 2013","8","Concretisation","199000","C","","",""
"2012 - 2013","9","Reparing Drainage Line","175000","D","","",""
"2012 - 2013","10","Collecting Waste","199000","M","","",""
"2012 - 2013","","","","","","",""
"","","Total","1847000","","","",""
"2013 - 2014","","","","","0","64/77","83.11"
"2013 - 2014","","","","","","",""
"2013 - 2014","","","","","","",""
"2013 - 2014","","","","","","",""
"2013 - 2014","","","","","","",""
"2013 - 2014","","","","","","",""
"2013 - 2014","","","","","","",""
"2013 - 2014","","","","","","",""
"2013 - 2014","","","","","","",""
"2013 - 2014","","","","","","",""
"","","Total","0","","","",""
"2014 - 2015","","","","","0","90/116","77.58"
"2014 - 2015","","","","","","",""
"2014 - 2015","","","","","","",""
"2014-2015","","","","","","",""
"2014 - 2015","","","","","","",""
"","","Total","0","","","",""
"2015 - 2016","1","Toilet Maintainance","44000","TO","0","107/127","84.25"
"2015 - 2016","2","Electrification","151000","E","","",""
"2015 - 2016","3","","","","","",""
"2015 - 2016","4","","","","","",""
"","","Total","195000","","","",""
"","","","","","","",""
"","","Final Total","2042000","","","",""
"","","","","","","",""
