"Prabhag 73A : Dattatray Dhanakwade","","","","","","",""
"Year","No.","Details of the work","Amount","Code","Questions raised","GB attendance","Attendance percentage"
"2012 - 2013","1","Benches","146979.12","B","0","51/66","77.27"
"2012 - 2013","2","Benches","145231.68","B","","",""
"2012 - 2013","3","Electrification Work","157277.97","E","","",""
"2012 - 2013","4","Footpath Work ","31620.27","F","","",""
"2012 - 2013","5","Drainage Work","148127.19","D","","",""
"","","Total","629236.23","","","",""
"2013 - 2014","1","Road Work","155471.86","R","0","58/77","75.32"
"2013 - 2014","2","Road Work","98963.68","R","","",""
"2013 - 2014","3","Laying of Drainage Line","143142.66","D","","",""
"2013 - 2014","4","Laying of Drainage Line","142991.96","D","","",""
"2013 - 2014","5","Benches","189694.32","B","","",""
"2013 - 2014","6","Road Work","169464.85","R","","",""
"2013 - 2014","7","Road Work","169816.21","R","","",""
"2013 - 2014","8","Water Supply","198434.41","W","","",""
"2013 - 2014","9","Laying of Drainage Line","142816.88","D","","",""
"2013 - 2014","10","Water Supply","196819.53","W","","",""
"","","Total","1607616.36","","","",""
"2014 - 2015","1","Road works","184074.22","R","0","111/116","95.68"
"2014 - 2015","2","Benches","142522.26","B","","",""
"","","","","","","",""
"","","","","","","",""
"","","Total","326596.48","","","",""
"2015 - 2016","1","Benches","147737","B","0","118/127",""
"2015 - 2016","2","Road construction/ Colouring roads/ Railing Work/Speed breaker ","147883","R","","",""
"2015 - 2016","3","","","","","",""
"2015 - 2016","4","","","","","",""
"","","Total","295620","","","",""
"","","","","","","",""
"","","","","","","",""
"","","Final Total","2859069.07","","0","","82.756666666667"
"","","","","","","",""
