"Prabhag 39A : Sonam Zhende","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Year","No.","Details of the work","Amount","Code","Questions raised","GB attendance","Percentage attendance","","","","","","","","","","","","","","","","","","",""
"2012 - 2013","1","Footpath repairs","96966","F","0","51/66","","","","","","","","","","","","","","","","","","","",""
"2012 - 2013","2","Laying tiles + Concretisation","129876","C","","","","","","","","","","","","","","","","","","","","","",""
"2012 - 2013","3","Drainage Chamber Repair","171180","D","","","","","","","","","","","","","","","","","","","","","",""
"2012 - 2013","4","Laying Drainage Line","200000","D","","","","","","","","","","","","","","","","","","","","","",""
"2012 - 2013","5","Taking out drainage filth","176953","D","","","","","","","","","","","","","","","","","","","","","",""
"2012 - 2013","6","Samaj mandir work","200000","SM","","","","","","","","","","","","","","","","","","","","","",""
"2012 - 2013","7","Drainage Chamber Repair","179952","D","","","","","","","","","","","","","","","","","","","","","",""
"2012 - 2013","8","Building bathroom in school","186336","T","","","","","","","","","","","","","","","","","","","","","",""
"2012 - 2013","9","Setting up Furniture in Principal's office","88871","FW","","","","","","","","","","","","","","","","","","","","","",""
"2012 - 2013","10","Installation of Benches","175901","B","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Total","1606035","","","","","","","","","","","","","","","","","","","","","","",""
"2013 - 2014","1","Installing Benches","199790","B","0","53/77","","","","","","","","","","","","","","","","","","","",""
"2013 - 2014","2","Drainage Repair","179814","D","","","","","","","","","","","","","","","","","","","","","",""
"2013 - 2014","3","Laying Directional Boards","199889","N","","","","","","","","","","","","","","","","","","","","","",""
"2013 - 2014","5","Installing Benches","199790","B","","","","","","","","","","","","","","","","","","","","","",""
"2013 - 2014","6","Drainage Repair and Cleaning","169843","D","","","","","","","","","","","","","","","","","","","","","",""
"2013 - 2014","7","Buying Buckets","199920","DB","","","","","","","","","","","","","","","","","","","","","",""
"2013 - 2014","8","Providing Jute Bags","199800","J","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Total","1348846","","","","","","","","","","","","","","","","","","","","","","",""
"2014 - 2015","1","Repair and Development work in school","79258","DW","0","79/116","","","","","","","","","","","","","","","","","","","",""
"2014 - 2015","2","Repairing Drainage chamber","188612","D","","","","","","","","","","","","","","","","","","","","","",""
