"Prabhag 49A : Sunanda Gadale","","","","","","",""
"Year","No.","Details of the work","Amount","Code","Questions raised","GB attendance","GB attendance"
"2012 - 2013","1","Installation of Benches","156000","B","0","60/66","90.9"
"2012 - 2013","2","Laying Drainage Line","134000","D","","",""
"2012 - 2013","3","Maintenance Work in School","164000","M","","",""
"2012 - 2013","4","Installing Nameplates","159000","N","","",""
"2012 - 2013","5","Concretisation","180000","C","","",""
"2012 - 2013","6","Concretisation","179000","C","","",""
"2012 - 2013","7","Installation of Benches","169000","B","","",""
"","","","","","","",""
"","","Total","1141000","","","",""
"2013 - 2014","1","Collecting Waste","141000","M","8","69/77","89.61"
"2013 - 2014","2","Repair Work in School","156000","M","","",""
"2013 - 2014","3","Laying Drainage Line","121000","D","","",""
"2013 - 2014","4","Concretisation","167000","C","","",""
"2013 - 2014","5","Repair Work /Maintenance Work","200000","M","","",""
"2013 - 2014","6","Electrification related works","133000","E","","",""
"2013 - 2014","7","Providing Computers","200000","CO","","",""
"2013 - 2014","8","Fitting of LED Bulbs","129000","E","","",""
"2013 - 2014","9","Streetlight /Highmast","157000","E","","",""
"","","","","","","",""
"","","","","","","",""
"","","Total","1404000","","","",""
"2014 - 2015","1","Concretisation","86000","C","0","90/116","77.58"
"2014 - 2015","2","Installation of Benches","149000","B","","",""
"2014 - 2015","3","Drainage Work","192000","D","","",""
"2014 - 2015","4","Collecting Waste","148000","M","","",""
"2014 - 2015","5","Laying Interlocking Blocks","157000","P","","",""
"","","Total","732000","","","",""
"2015 - 2016","1","Maintainance work","133000","M","0","102/127","80.31"
"2015 - 2016","2","Water supply line","195000","W","","",""
"2015 - 2016","3","Installation of Nameplates","198000","N","","",""
"2015 - 2016","4","","","","","",""
"","","Total","526000","","","",""
"","","","","","","",""
"","","Final Total","3803000","","","",""
"","","","","","","",""
