"Prabhag 17B : Bapurao Karne ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Year","No.","Details of the work","Amount","Code","Questions raised","GB attendance","GB attendance","","","","","","","","","","","","","","","","","","",""
"2012 - 2013","1","Fencing, walls","163852","FE","4","58/66","87.87","","","","","","","","","","","","","","","","","","",""
"2012 - 2013","2","Building of Bus stop shed","101401","BS","","","","","","","","","","","","","","","","","","","","","",""
"2012 - 2013","3","Gym/ gym equipments","159939","GY","","","","","","","","","","","","","","","","","","","","","",""
"2012 - 2013","4","Toilet- building / Renovation/Maintenance","133754","TO","","","","","","","","","","","","","","","","","","","","","",""
"2012 - 2013","5","Toilet- building / Renovation/Maintenance","156498","TO","","","","","","","","","","","","","","","","","","","","","",""
"2012 - 2013","6","Drainage work/ Laying of Drainage line","126987","D","","","","","","","","","","","","","","","","","","","","","",""
"2012 - 2013","7","Building Library / maintenance / books","130941","L","","","","","","","","","","","","","","","","","","","","","",""
"2012 - 2013","8","Waste Disposal ","161470","WD","","","","","","","","","","","","","","","","","","","","","",""
"","","Total","1134842","","","","","","","","","","","","","","","","","","","","","","",""
"2013 - 2014","1","Waste Disposal ","138887","WD","0","63/77","81.81","","","","","","","","","","","","","","","","","","",""
"2013 - 2014","2","Concretization ","133588","C","","","","","","","","","","","","","","","","","","","","","",""
"2013 - 2014","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2013 - 2014","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Total","272475","","","","","","","","","","","","","","","","","","","","","","",""
"2014 - 2015","1","Concretization ","135643","C","0","110/116","94.82","","","","","","","","","","","","","","","","","","",""
"2014 - 2015","2","Concretization ","131645","C","","","","","","","","","","","","","","","","","","","","","",""
"2014 - 2015","3","Concretization ","135446","C","","","","","","","","","","","","","","","","","","","","","",""
"2014 - 2015","4","Concretization ","133487","C","","","","","","","","","","","","","","","","","","","","","",""
"2014 - 2015","5","Drainage work/ Laying of Drainage line","137821","D","","","","","","","","","","","","","","","","","","","","","",""
"2014 - 2015","6","Waste Disposal ","130869","WD","","","","","","","","","","","","","","","","","","","","","",""
"","","Total","804911","","","","","","","","","","","","","","","","","","","","","","",""
"2015 - 2016","1","Waste Disposal ","163512","WD","0","104/127","81.88","","","","","","","","","","","","","","","","","","",""
"2015 - 2016","2","Drainage work/ Laying of Drainage line","132313","D","","","","","","","","","","","","","","","","","","","","","",""
"2015 - 2016","3","Drainage work/ Laying of Drainage line","152252","D","","","","","","","","","","","","","","","","","","","","","",""
"2015 - 2016","4","Drainage work/ Laying of Drainage line","63075","D","","","","","","","","","","","","","","","","","","","","","",""
"2015 - 2016","5","Road construction/ Colouring roads/ Railing Work/Speed breaker ","136052","R","","","","","","","","","","","","","","","","","","","","","",""
"","","Total","647204","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Final Total","2859432","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
