54A,MISS. CHAKANKAR BHARATI /YUGANDHARA KUNDAL,54A,images/photos/54A.jpg,Suncity Wadgaon Budruk,Tilak Road,MNS,Yes,www.google.com,www.gmail.com
54B,LAYGUDE RAJABHAU MURLIDHAR,54B,images/photos/54B.jpg,Suncity Wadgaon Budruk,Tilak Road,MNS,Yes,www.google.com,www.gmail.com
55A,MRS. KUDALE PATIL SANGITA ANKURSHTH,55A,images/photos/55A.jpg,Janata Vasahat,Tilak Road,NCP,Yes,www.google.com,www.gmail.com
55B,DANGAT (PATIL) VIKAS PANDHARINATH,55B,images/photos/55B.jpg,Janata Vasahat,Tilak Road,NCP,Yes,www.google.com,www.gmail.com
56A,TUPERE RAHUL BAPU,56A,images/photos/56A.jpg,Sarasbaug Parvati,Tilak Road,MNS,Yes,www.google.com,www.gmail.com
56B,GADADE (MADHE) PRIYA SHIVAJI,56B,images/photos/56B.jpg,Sarasbaug Parvati,Tilak Road,MNS,Yes,www.google.com,www.gmail.com
57A,MRS. VASTE SMITA PADMAKAR,57A,images/photos/57A.jpg,Kadakmal Ali Hirabaug,Sahakarnagar ,BJP,Yes,www.google.com,www.gmail.com
57B,HARNAVAR ASHOK/VISHNU SURYAKANT,57B,images/photos/57B.jpg,Kadakmal Ali Hirabaug,Sahakarnagar ,SS,Yes,www.google.com,www.gmail.com
58A,MRS. DHAMALE PRATIBHA NITIN,58A,images/photos/58A.jpg,Mahatma Phule Smarak,Kasba Vishrambagwada ,BJP,Yes,www.google.com,www.gmail.com
58B,YENPURE ASHOK KONDIBA,58B,images/photos/58B.jpg,Mahatma Phule Smarak,Kasba Vishrambagwada ,BJP,Yes,www.google.com,www.gmail.com
59A,SMT. NETAKE (OSVAL)SUSHILATAI SHANKAR,59A,images/photos/59A.jpg,Kashewadi Gurunanaknagar,Bhawani Peth,MNS,Yes,www.google.com,www.gmail.com
59B,HARIHAR VISHNU NARAYAN,59B,images/photos/59B.jpg,Kashewadi Gurunanaknagar,Bhawani Peth,BJP,Yes,www.google.com,www.gmail.com
60A,MRS. MOMIN HINA SHAFIK,60A,images/photos/60A.jpg,Mahatma Phule Peth Kashewadi Bhawani Peth,Bhawani Peth,NCP,Yes,www.google.com,www.gmail.com
60B,BAGWE AVINASH RAMESH,60B,images/photos/60B.jpg,Mahatma Phule Peth Kashewadi Bhawani Peth,Bhawani Peth,INC,Yes,www.google.com,www.gmail.com
61A,MRS. LONKAR NANDA NARAYANRAO,61A,images/photos/61A.jpg,Kedar Vasti - Azadnagar,Kondhwa Wanavdi ,NCP,Yes,www.google.com,www.gmail.com
61B,JAGTAP PRASHANT SUDAM,61B,images/photos/61B.jpg,Kedar Vasti - Azadnagar,Kondhwa Wanavdi ,NCP,Yes,www.google.com,www.gmail.com
62A,MRS.THOSAR SANGITATAI RAJENDRA,62A,images/photos/62A.jpg,"Kondhwa Budruk, Gokulnagar",Kondhwa Wanavdi ,BJP,Yes,www.google.com,www.gmail.com
62B,TILEKAR YOGESH PUNDALIK,62B,images/photos/62B.jpg,"Kondhwa Budruk, Gokulnagar",Kondhwa Wanavdi ,BJP,Yes,www.google.com,www.gmail.com
63A,RAYIS RASHID SUNDAKE,63A,images/photos/63A.jpg,Bhagyodaynagar,Kondhwa Wanavdi ,SS,Yes,www.google.com,www.gmail.com
63B,MRS. BABAR AARTI SAINATH,63B,images/photos/63B.jpg,Bhagyodaynagar,Kondhwa Wanavdi ,MNS,Yes,www.google.com,www.gmail.com
64A,BHIMALE SHRINATH YASHWANT,64A,images/photos/64A.jpg,Salisbury Park,Bhawani Peth,BJP,Yes,www.google.com,www.gmail.com
64B,MRS. VAIRAGE KAVITA BHARAT,64B,images/photos/64B.jpg,Salisbury Park,Bhawani Peth,BJP,Yes,www.google.com,www.gmail.com
65A,KAMBALE PANDURANG/BAPU DIGAMBAR,65A,images/photos/65A.jpg,Ghorpade Garden,Bhawani Peth,BJP,Yes,www.google.com,www.gmail.com
65B,MRS. VYAVAHARE KAMAL DNYANRAJ,65B,images/photos/65B.jpg,Ghorpade Garden,Bhawani Peth,INC,Yes,www.google.com,www.gmail.com
66A,MRS. CHORBELE MANISHA PRAVIN,66A,images/photos/66A.jpg,Adinath Society,Sahakarnagar ,BJP,Yes,www.google.com,www.gmail.com
66B,CHAJED ABHAY BHAKCHAND,66B,images/photos/66B.jpg,Adinath Society,Sahakarnagar ,INC,Yes,www.google.com,www.gmail.com
67A,BAGUL AABA / ULHAS VASANTRAO,67A,images/photos/67A.jpg,Aranyeshwar Taware Colony,Sahakarnagar ,INC,Yes,www.google.com,www.gmail.com
67B,MRS. KADAM ASHWINI NITIN,67B,images/photos/67B.jpg,Aranyeshwar Taware Colony,Sahakarnagar ,OTHER,Yes,www.google.com,www.gmail.com
68A,MRS. JAGTAP USHA SUBHASH,68A,images/photos/68A.jpg,Sahakarnagar - Taljai,Sahakarnagar ,INC,Yes,www.google.com,www.gmail.com
68B,JAGTAP SUBHASH DIGAMBAR,68B,images/photos/68B.jpg,Sahakarnagar - Taljai,Sahakarnagar ,INC,Yes,www.google.com,www.gmail.com
69A,MRS. TAPKIR VARSHA VILAS,69A,images/photos/69A.jpg,Dhankawadi Padmavati,Dhankawadi ,BJP,Yes,www.google.com,www.gmail.com
69B,BHOSALE SHIVLAL NAMADEVLAL,69B,images/photos/69B.jpg,Dhankawadi Padmavati,Dhankawadi ,NCP,Yes,www.google.com,www.gmail.com
70A,SHILIMKAR RAJENDRA YASHWANT,70A,images/photos/70A.jpg,Bibvewadi and KK Market,Bhawani Peth,BJP,Yes,www.google.com,www.gmail.com
70B,MRS. SHINDE ASMITA VISHAL,70B,images/photos/70B.jpg,Bibvewadi and KK Market,Bhawani Peth,MNS,Yes,www.google.com,www.gmail.com
71A,KAMBALE SUNIL DNYANDEV,71A,images/photos/71A.jpg,"Shivaji Market, Gultekdi",Bhawani Peth,BJP,Yes,www.google.com,www.gmail.com
71B,MRS. DESHPANDE MANASI MANOJ,71B,images/photos/71B.jpg,"Shivaji Market, Gultekdi",Bhawani Peth,BJP,Yes,www.google.com,www.gmail.com
72A,DHADAVE DINESH SHANKAR,72A,images/photos/72A.jpg,Upper Indiranagar,Bhawani Peth,NCP,Yes,www.google.com,www.gmail.com
72B,MRS.OSWAL DIPALI PRAMOD,72B,images/photos/72B.jpg,Upper Indiranagar,Bhawani Peth,SS,Yes,www.google.com,www.gmail.com
73A,DHANKAVDE DATTATRAY BABANRAO,73A,images/photos/73A.jpg,Balajinagar Vaibhavnagar,Dhankawadi ,NCP,Yes,www.google.com,www.gmail.com
73B,MRS. PAYGUDE SUVARNA ROHIDAS,73B,images/photos/73B.jpg,Balajinagar Vaibhavnagar,Dhankawadi ,NCP,Yes,www.google.com,www.gmail.com
74A,MRS. DEVKAR MOHINI RAJENDRAKUMAR,74A,images/photos/74A.jpg,Bharati Vidyapeeth,Dhankawadi ,NCP,Yes,www.google.com,www.gmail.com
74B,TAMBE VISHAL VILASRAO,74B,images/photos/74B.jpg,Bharati Vidyapeeth,Dhankawadi ,NCP,Yes,www.google.com,www.gmail.com
75A,MRS. THORVE KALPANA SAMBHAJI,75A,images/photos/75A.jpg,Katraj Dairy,Dhankawadi ,SS,Yes,www.google.com,www.gmail.com
75B,KADAM ABHIJIT MADHAVRAO,75B,images/photos/75B.jpg,Katraj Dairy,Dhankawadi ,INC,Yes,www.google.com,www.gmail.com
76A,MRS. KADAM BHARATI PRAKASH,76A,images/photos/76A.jpg,Katraj Maulinagar,Dhankawadi ,NCP,Yes,www.google.com,www.gmail.com
76B,MORE VASANT KRUSHNA,76B,images/photos/76B.jpg,Katraj Maulinagar,Dhankawadi ,MNS,Yes,www.google.com,www.gmail.com
